# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.08148426	-2.08132793	-2.08148426	-0.00015633
2840500000.000000	-2.08102049	-2.08102700	-2.08102049	0.00000651
2841000000.000000	-2.08095470	-2.08070685	-2.08095470	-0.00024784
2841500000.000000	-2.08094753	-2.08113382	-2.08094753	0.00018629
2842000000.000000	-2.08073779	-2.08084136	-2.08073779	0.00010357
2842500000.000000	-2.08042025	-2.08035805	-2.08042025	-0.00006221
2843000000.000000	-2.08033167	-2.08042058	-2.08033167	0.00008891
2843500000.000000	-2.08073128	-2.08064888	-2.08073128	-0.00008240
2844000000.000000	-2.08043523	-2.08041016	-2.08043523	-0.00002508
2844500000.000000	-2.08033102	-2.08030236	-2.08033102	-0.00002866
2845000000.000000	-2.08038866	-2.08045184	-2.08038866	0.00006318
2845500000.000000	-2.07973371	-2.07972850	-2.07973371	-0.00000521
2846000000.000000	-2.07993824	-2.07995909	-2.07993824	0.00002084
2846500000.000000	-2.07980992	-2.07960702	-2.07980992	-0.00020290
2847000000.000000	-2.07920969	-2.07922142	-2.07920969	0.00001172
2847500000.000000	-2.07884558	-2.07868078	-2.07884558	-0.00016480
2848000000.000000	-2.07876806	-2.07874071	-2.07876806	-0.00002736
2848500000.000000	-2.07806948	-2.07799685	-2.07806948	-0.00007263
2849000000.000000	-2.07751028	-2.07773142	-2.07751028	0.00022114
2849500000.000000	-2.07737512	-2.07730542	-2.07737512	-0.00006970
2850000000.000000	-2.07690451	-2.07690646	-2.07690451	0.00000195
2850500000.000000	-2.07660618	-2.07653746	-2.07660618	-0.00006872
2851000000.000000	-2.07565910	-2.07564607	-2.07565910	-0.00001303
2851500000.000000	-2.07469508	-2.07485075	-2.07469508	0.00015568
2852000000.000000	-2.07335457	-2.07342068	-2.07335457	0.00006611
2852500000.000000	-2.07247522	-2.07258074	-2.07247522	0.00010552
2853000000.000000	-2.07140763	-2.07173071	-2.07140763	0.00032308
2853500000.000000	-2.07079535	-2.07083248	-2.07079535	0.00003713
2854000000.000000	-2.06853511	-2.06851525	-2.06853511	-0.00001987
2854500000.000000	-2.06726365	-2.06713207	-2.06726365	-0.00013158
2855000000.000000	-2.06633154	-2.06632145	-2.06633154	-0.00001010
2855500000.000000	-2.06472690	-2.06504607	-2.06472690	0.00031917
2856000000.000000	-2.06274806	-2.06340431	-2.06274806	0.00065625
2856500000.000000	-2.05830542	-2.05819208	-2.05830542	-0.00011334
2857000000.000000	-2.05517072	-2.05516453	-2.05517072	-0.00000619
2857500000.000000	-2.05166898	-2.05164488	-2.05166898	-0.00002410
2858000000.000000	-2.04807051	-2.04801743	-2.04807051	-0.00005309
2858500000.000000	-2.04432483	-2.04431637	-2.04432483	-0.00000847
2859000000.000000	-2.04124616	-2.04132074	-2.04124616	0.00007458
2859500000.000000	-2.03591310	-2.03593166	-2.03591310	0.00001856
2860000000.000000	-2.03113240	-2.03114543	-2.03113240	0.00001303
2860500000.000000	-2.02735286	-2.02730368	-2.02735286	-0.00004918
2861000000.000000	-2.02160000	-2.02161921	-2.02160000	0.00001922
2861500000.000000	-2.01413600	-2.01444312	-2.01413600	0.00030712
2862000000.000000	-2.00671597	-2.00683745	-2.00671597	0.00012148
2862500000.000000	-1.99903474	-1.99901846	-1.99903474	-0.00001628
2863000000.000000	-1.98763910	-1.98762412	-1.98763910	-0.00001498
2863500000.000000	-1.97901111	-1.97900460	-1.97901111	-0.00000651
2864000000.000000	-1.97137288	-1.97129634	-1.97137288	-0.00007654
2864500000.000000	-1.96535393	-1.96527675	-1.96535393	-0.00007719
2865000000.000000	-1.96090055	-1.96089143	-1.96090055	-0.00000912
2865500000.000000	-1.95827685	-1.95825405	-1.95827685	-0.00002280
2866000000.000000	-1.95587852	-1.95593193	-1.95587852	0.00005341
2866500000.000000	-1.95651393	-1.95651979	-1.95651393	0.00000586
2867000000.000000	-1.95983101	-1.95985217	-1.95983101	0.00002117
2867500000.000000	-1.96620169	-1.96625542	-1.96620169	0.00005374
2868000000.000000	-1.97645841	-1.97649587	-1.97645841	0.00003745
2868500000.000000	-1.98837254	-1.98840022	-1.98837254	0.00002768
2869000000.000000	-1.99270900	-1.99266113	-1.99270900	-0.00004788
2869500000.000000	-1.98689752	-1.98698220	-1.98689752	0.00008468
2870000000.000000	-1.97727001	-1.97727913	-1.97727001	0.00000912
2870500000.000000	-1.96812973	-1.96813559	-1.96812973	0.00000586
2871000000.000000	-1.96214921	-1.96243191	-1.96214921	0.00028269
2871500000.000000	-1.95998864	-1.96002251	-1.95998864	0.00003387
2872000000.000000	-1.96075464	-1.96070774	-1.96075464	-0.00004690
2872500000.000000	-1.96292467	-1.96261494	-1.96292467	-0.00030972
2873000000.000000	-1.96627724	-1.96706833	-1.96627724	0.00079108
2873500000.000000	-1.96600758	-1.96604633	-1.96600758	0.00003876
2874000000.000000	-1.97223789	-1.97216005	-1.97223789	-0.00007784
2874500000.000000	-1.97936839	-1.97942082	-1.97936839	0.00005243
2875000000.000000	-1.98808529	-1.98812535	-1.98808529	0.00004006
2875500000.000000	-1.99622931	-1.99622735	-1.99622931	-0.00000195
2876000000.000000	-2.00488563	-2.00487944	-2.00488563	-0.00000619
2876500000.000000	-2.01283034	-2.01273361	-2.01283034	-0.00009673
2877000000.000000	-2.02434452	-2.02429730	-2.02434452	-0.00004722
2877500000.000000	-2.02966032	-2.02970200	-2.02966032	0.00004169
2878000000.000000	-2.02836117	-2.02842403	-2.02836117	0.00006286
2878500000.000000	-2.03467616	-2.03474064	-2.03467616	0.00006449
2879000000.000000	-2.04269447	-2.04260979	-2.04269447	-0.00008468
2879500000.000000	-2.04998520	-2.04972987	-2.04998520	-0.00025534
2880000000.000000	-2.05393606	-2.05405949	-2.05393606	0.00012343
2880500000.000000	-2.05176180	-2.05179241	-2.05176180	0.00003061
2881000000.000000	-2.05690661	-2.05692615	-2.05690661	0.00001954
2881500000.000000	-2.06198433	-2.06230676	-2.06198433	0.00032243
2882000000.000000	-2.06455690	-2.06454843	-2.06455690	-0.00000847
2882500000.000000	-2.06706140	-2.06696890	-2.06706140	-0.00009249
2883000000.000000	-2.06807720	-2.06811107	-2.06807720	0.00003387
2883500000.000000	-2.06654421	-2.06654324	-2.06654421	-0.00000098
2884000000.000000	-2.06862858	-2.06854912	-2.06862858	-0.00007947
2884500000.000000	-2.07155843	-2.07143727	-2.07155843	-0.00012115
2885000000.000000	-2.06943921	-2.06942976	-2.06943921	-0.00000944
2885500000.000000	-2.07086049	-2.07091195	-2.07086049	0.00005146
2886000000.000000	-2.07227102	-2.07228177	-2.07227102	0.00001075
2886500000.000000	-2.07412969	-2.07420297	-2.07412969	0.00007328
2887000000.000000	-2.07520900	-2.07518621	-2.07520900	-0.00002280
2887500000.000000	-2.07614762	-2.07610170	-2.07614762	-0.00004592
2888000000.000000	-2.07598055	-2.07610040	-2.07598055	0.00011985
2888500000.000000	-2.07631893	-2.07696313	-2.07631893	0.00064420
2889000000.000000	-2.07653681	-2.07646060	-2.07653681	-0.00007621
2889500000.000000	-2.07632707	-2.07634010	-2.07632707	0.00001303
2890000000.000000	-2.07685891	-2.07689799	-2.07685891	0.00003908
2890500000.000000	-2.07639677	-2.07635932	-2.07639677	-0.00003745
2891000000.000000	-2.07668467	-2.07668891	-2.07668467	0.00000423
2891500000.000000	-2.07731650	-2.07725364	-2.07731650	-0.00006286
2892000000.000000	-2.07799131	-2.07776985	-2.07799131	-0.00022146
2892500000.000000	-2.07786755	-2.07787341	-2.07786755	0.00000586
2893000000.000000	-2.07822092	-2.07838376	-2.07822092	0.00016284
2893500000.000000	-2.07769657	-2.07760668	-2.07769657	-0.00008989
2894000000.000000	-2.07813136	-2.07806459	-2.07813136	-0.00006676
2894500000.000000	-2.07849123	-2.07838962	-2.07849123	-0.00010161
2895000000.000000	-2.07899604	-2.07892765	-2.07899604	-0.00006839
2895500000.000000	-2.07920871	-2.07915009	-2.07920871	-0.00005862
2896000000.000000	-2.07912632	-2.07911752	-2.07912632	-0.00000879
2896500000.000000	-2.07893970	-2.07903415	-2.07893970	0.00009445
2897000000.000000	-2.07831699	-2.07837725	-2.07831699	0.00006025
2897500000.000000	-2.07889508	-2.07888824	-2.07889508	-0.00000684
2898000000.000000	-2.07949792	-2.07955850	-2.07949792	0.00006058
2898500000.000000	-2.07920904	-2.07911980	-2.07920904	-0.00008924
2899000000.000000	-2.07924030	-2.07939533	-2.07924030	0.00015502
2899500000.000000	-2.07944776	-2.07939663	-2.07944776	-0.00005113
2900000000.000000	-2.08008415	-2.08010141	-2.08008415	0.00001726
