# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.47903412	-2.47882894	0.00004138	-0.00020518
2840500000.000000	-2.47139360	-2.47162158	-0.00004612	0.00022798
2841000000.000000	-2.47728194	-2.47664035	0.00012951	-0.00064160
2841500000.000000	-2.47988740	-2.48110220	-0.00024487	0.00121480
2842000000.000000	-2.47819060	-2.47801147	0.00003614	-0.00017913
2842500000.000000	-2.47879637	-2.47878985	0.00000131	-0.00000651
2843000000.000000	-2.47759134	-2.47753598	0.00001117	-0.00005537
2843500000.000000	-2.47734057	-2.47732428	0.00000329	-0.00001628
2844000000.000000	-2.47461786	-2.47733079	-0.00054785	0.00271294
2844500000.000000	-2.47737313	-2.47768579	-0.00006310	0.00031266
2845000000.000000	-2.47779652	-2.47764019	0.00003155	-0.00015633
2845500000.000000	-2.47572844	-2.47594990	-0.00004473	0.00022146
2846000000.000000	-2.47544509	-2.47498262	0.00009342	-0.00046247
2846500000.000000	-2.47601829	-2.47635375	-0.00006774	0.00033545
2847000000.000000	-2.47282986	-2.47246509	0.00007376	-0.00036476
2847500000.000000	-2.47508033	-2.47665012	-0.00031702	0.00156979
2848000000.000000	-2.47415865	-2.47421401	-0.00001119	0.00005537
2848500000.000000	-2.47383622	-2.47365384	0.00003686	-0.00018238
2849000000.000000	-2.47000619	-2.47023742	-0.00004681	0.00023123
2849500000.000000	-2.47248464	-2.47223712	0.00005006	-0.00024752
2850000000.000000	-2.47000619	-2.47002899	-0.00000461	0.00002280
2850500000.000000	-2.46463568	-2.46491577	-0.00005682	0.00028009
2851000000.000000	-2.46572998	-2.46544989	0.00005680	-0.00028009
2851500000.000000	-2.46337529	-2.46267507	0.00014215	-0.00070022
2852000000.000000	-2.46185435	-2.46169802	0.00003175	-0.00015633
2852500000.000000	-2.45939219	-2.46063955	-0.00025353	0.00124736
2853000000.000000	-2.46318639	-2.46315708	0.00000595	-0.00002931
2853500000.000000	-2.46149284	-2.46122904	0.00005359	-0.00026380
2854000000.000000	-2.45987420	-2.46054836	-0.00013701	0.00067416
2854500000.000000	-2.45866917	-2.45896554	-0.00006027	0.00029637
2855000000.000000	-2.45777029	-2.45781914	-0.00000994	0.00004885
2855500000.000000	-2.45526253	-2.45536349	-0.00002056	0.00010096
2856000000.000000	-2.45339637	-2.45047500	0.00059573	-0.00292137
2856500000.000000	-2.44862512	-2.44849484	0.00002660	-0.00013027
2857000000.000000	-2.44384084	-2.44349236	0.00007130	-0.00034848
2857500000.000000	-2.44094878	-2.43901748	0.00039576	-0.00193130
2858000000.000000	-2.43508974	-2.43498552	0.00002140	-0.00010422
2858500000.000000	-2.42808105	-2.43098288	-0.00059720	0.00290183
2859000000.000000	-2.42392208	-2.42393511	-0.00000269	0.00001303
2859500000.000000	-2.41716416	-2.41683848	0.00006737	-0.00032568
2860000000.000000	-2.41034111	-2.40984607	0.00010270	-0.00049504
2860500000.000000	-2.40317283	-2.40279504	0.00007861	-0.00037779
2861000000.000000	-2.39237971	-2.39296594	-0.00012251	0.00058623
2861500000.000000	-2.38585628	-2.38575532	0.00002116	-0.00010096
2862000000.000000	-2.37834929	-2.37819297	0.00003287	-0.00015633
2862500000.000000	-2.36274258	-2.36307477	-0.00007029	0.00033220
2863000000.000000	-2.34795984	-2.34751691	0.00009433	-0.00044293
2863500000.000000	-2.33581513	-2.33561972	0.00004183	-0.00019541
2864000000.000000	-2.33014499	-2.33009940	0.00000978	-0.00004560
2864500000.000000	-2.32438692	-2.32583621	-0.00031166	0.00144929
2865000000.000000	-2.32110404	-2.31976548	0.00028843	-0.00133856
2865500000.000000	-2.31886660	-2.31725447	0.00034773	-0.00161213
2866000000.000000	-2.31703300	-2.31714699	-0.00002460	0.00011399
2866500000.000000	-2.31926719	-2.32038754	-0.00024147	0.00112035
2867000000.000000	-2.32607070	-2.32597625	0.00002030	-0.00009445
2867500000.000000	-2.33812422	-2.33779202	0.00007104	-0.00033220
2868000000.000000	-2.35360066	-2.35377979	-0.00003805	0.00017913
2868500000.000000	-2.36210424	-2.36150824	0.00012617	-0.00059600
2869000000.000000	-2.35802343	-2.35744698	0.00012225	-0.00057646
2869500000.000000	-2.34364128	-2.34379110	-0.00003196	0.00014981
2870000000.000000	-2.32852309	-2.32814530	0.00008113	-0.00037779
2870500000.000000	-2.32259892	-2.32247191	0.00002734	-0.00012702
2871000000.000000	-2.32236117	-2.31912714	0.00069677	-0.00323403
2871500000.000000	-2.32062203	-2.32134830	-0.00015646	0.00072627
2872000000.000000	-2.31699066	-2.31697764	0.00000281	-0.00001303
2872500000.000000	-2.32144600	-2.32169027	-0.00005261	0.00024426
2873000000.000000	-2.32896602	-2.32822346	0.00015944	-0.00074256
2873500000.000000	-2.33568811	-2.33495207	0.00015759	-0.00073604
2874000000.000000	-2.34570611	-2.34681995	-0.00023736	0.00111383
2874500000.000000	-2.36028042	-2.36085687	-0.00012210	0.00057646
2875000000.000000	-2.37498173	-2.37450298	0.00010080	-0.00047875
2875500000.000000	-2.38185364	-2.38005913	0.00037685	-0.00179451
2876000000.000000	-2.38787226	-2.38890793	-0.00021681	0.00103567
2876500000.000000	-2.39932326	-2.39960009	-0.00005769	0.00027683
2877000000.000000	-2.40950085	-2.40773891	0.00036576	-0.00176194
2877500000.000000	-2.41504397	-2.41518727	-0.00002967	0.00014330
2878000000.000000	-2.42068479	-2.42068154	0.00000067	-0.00000326
2878500000.000000	-2.42584687	-2.42598365	-0.00002819	0.00013679
2879000000.000000	-2.43169287	-2.43233772	-0.00013258	0.00064485
2879500000.000000	-2.43539588	-2.43500832	0.00007958	-0.00038756
2880000000.000000	-2.44132657	-2.44154803	-0.00004536	0.00022146
2880500000.000000	-2.44421212	-2.44438799	-0.00003598	0.00017587
2881000000.000000	-2.44889543	-2.44873911	0.00003192	-0.00015633
2881500000.000000	-2.45291436	-2.45267661	0.00004846	-0.00023775
2882000000.000000	-2.45761722	-2.45740552	0.00004307	-0.00021169
2882500000.000000	-2.45849330	-2.45908605	-0.00012054	0.00059274
2883000000.000000	-2.46113134	-2.46101409	0.00002382	-0.00011725
2883500000.000000	-2.46253503	-2.46235916	0.00003571	-0.00017587
2884000000.000000	-2.46405597	-2.46463568	-0.00011762	0.00057972
2884500000.000000	-2.46528053	-2.46513398	0.00002973	-0.00014656
2885000000.000000	-2.46766453	-2.46771664	-0.00001056	0.00005211
2885500000.000000	-2.46860575	-2.46823448	0.00007521	-0.00037128
2886000000.000000	-2.47030907	-2.47064778	-0.00006855	0.00033871
2886500000.000000	-2.46872626	-2.46974890	-0.00020708	0.00102264
2887000000.000000	-2.46882722	-2.46852759	0.00006069	-0.00029963
2887500000.000000	-2.46885002	-2.46859273	0.00005211	-0.00025729
2888000000.000000	-2.47277124	-2.47237065	0.00008101	-0.00040059
2888500000.000000	-2.47250418	-2.47329233	-0.00015936	0.00078815
2889000000.000000	-2.47349751	-2.47352682	-0.00000593	0.00002931
2889500000.000000	-2.47423681	-2.47409677	0.00002830	-0.00014004
2890000000.000000	-2.47461786	-2.47466020	-0.00000855	0.00004234
2890500000.000000	-2.47530831	-2.47531808	-0.00000197	0.00000977
2891000000.000000	-2.47628535	-2.47619091	0.00001907	-0.00009445
2891500000.000000	-2.47683250	-2.47687810	-0.00000920	0.00004560
2892000000.000000	-2.47525945	-2.47522037	0.00000789	-0.00003908
2892500000.000000	-2.47533762	-2.47650356	-0.00023546	0.00116594
2893000000.000000	-2.47599224	-2.47733405	-0.00027089	0.00134181
2893500000.000000	-2.47631141	-2.47627233	0.00000789	-0.00003908
2894000000.000000	-2.47662081	-2.47653287	0.00001775	-0.00008793
2894500000.000000	-2.47719727	-2.47700511	0.00003879	-0.00019215
2895000000.000000	-2.47623976	-2.47656870	-0.00006641	0.00032894
2895500000.000000	-2.47800822	-2.47781281	0.00003943	-0.00019541
2896000000.000000	-2.47719401	-2.47729823	-0.00002104	0.00010422
2896500000.000000	-2.47787794	-2.47638957	0.00030042	-0.00148837
2897000000.000000	-2.47957801	-2.47639934	0.00064138	-0.00317866
2897500000.000000	-2.47763368	-2.47752946	0.00002103	-0.00010422
2898000000.000000	-2.47810266	-2.47791377	0.00003811	-0.00018890
2898500000.000000	-2.47817757	-2.47785189	0.00006571	-0.00032568
2899000000.000000	-2.47850000	-2.47835018	0.00003022	-0.00014981
2899500000.000000	-2.47921975	-2.47791702	0.00026280	-0.00130273
2900000000.000000	-2.47689764	-2.48150279	-0.00092876	0.00460515
