# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.07834044	-2.07797112	-2.07834044	-0.00036932
2840500000.000000	-2.07786169	-2.07760473	-2.07786169	-0.00025696
2841000000.000000	-2.07808934	-2.07815578	-2.07808934	0.00006644
2841500000.000000	-2.07772946	-2.07805091	-2.07772946	0.00032145
2842000000.000000	-2.07787602	-2.07802095	-2.07787602	0.00014493
2842500000.000000	-2.07755587	-2.07771741	-2.07755587	0.00016154
2843000000.000000	-2.07785713	-2.07710741	-2.07785713	-0.00074972
2843500000.000000	-2.07735265	-2.07786299	-2.07735265	0.00051034
2844000000.000000	-2.07672180	-2.07733506	-2.07672180	0.00061326
2844500000.000000	-2.07709210	-2.07685044	-2.07709210	-0.00024166
2845000000.000000	-2.07655603	-2.07635638	-2.07655603	-0.00019964
2845500000.000000	-2.07603754	-2.07609128	-2.07603754	0.00005374
2846000000.000000	-2.07527479	-2.07539204	-2.07527479	0.00011725
2846500000.000000	-2.07604210	-2.07578351	-2.07604210	-0.00025859
2847000000.000000	-2.07568059	-2.07560862	-2.07568059	-0.00007198
2847500000.000000	-2.07553273	-2.07569134	-2.07553273	0.00015861
2848000000.000000	-2.07511553	-2.07507840	-2.07511553	-0.00003713
2848500000.000000	-2.07530769	-2.07523701	-2.07530769	-0.00007067
2849000000.000000	-2.07501229	-2.07468889	-2.07501229	-0.00032340
2849500000.000000	-2.07487778	-2.07477129	-2.07487778	-0.00010650
2850000000.000000	-2.07457034	-2.07445505	-2.07457034	-0.00011529
2850500000.000000	-2.07382127	-2.07392842	-2.07382127	0.00010715
2851000000.000000	-2.07343924	-2.07333437	-2.07343924	-0.00010487
2851500000.000000	-2.07220588	-2.07210622	-2.07220588	-0.00009966
2852000000.000000	-2.07097187	-2.07118747	-2.07097187	0.00021560
2852500000.000000	-2.06978639	-2.07013454	-2.06978639	0.00034815
2853000000.000000	-2.07009839	-2.06976131	-2.07009839	-0.00033708
2853500000.000000	-2.06834459	-2.06857029	-2.06834459	0.00022570
2854000000.000000	-2.06707508	-2.06705554	-2.06707508	-0.00001954
2854500000.000000	-2.06529424	-2.06609738	-2.06529424	0.00080313
2855000000.000000	-2.06392051	-2.06330562	-2.06392051	-0.00061489
2855500000.000000	-2.06175635	-2.06146845	-2.06175635	-0.00028790
2856000000.000000	-2.05993448	-2.06139061	-2.05993448	0.00145613
2856500000.000000	-2.05634448	-2.05666593	-2.05634448	0.00032145
2857000000.000000	-2.05645163	-2.05483266	-2.05645163	-0.00161897
2857500000.000000	-2.05401455	-2.05225749	-2.05401455	-0.00175706
2858000000.000000	-2.04923320	-2.04831249	-2.04923320	-0.00092071
2858500000.000000	-2.04449256	-2.04602620	-2.04449256	0.00153364
2859000000.000000	-2.04043879	-2.04193465	-2.04043879	0.00149586
2859500000.000000	-2.03785938	-2.03648402	-2.03785938	-0.00137536
2860000000.000000	-2.03163461	-2.03224363	-2.03163461	0.00060903
2860500000.000000	-2.02737761	-2.02539029	-2.02737761	-0.00198732
2861000000.000000	-2.01913165	-2.02121862	-2.01913165	0.00208698
2861500000.000000	-2.01219916	-2.01518014	-2.01219916	0.00298097
2862000000.000000	-2.00498106	-2.00761778	-2.00498106	0.00263673
2862500000.000000	-1.99513469	-2.00114028	-1.99513469	0.00600559
2863000000.000000	-1.99062854	-1.98700532	-1.99062854	-0.00362322
2863500000.000000	-1.98035423	-1.98129382	-1.98035423	0.00093959
2864000000.000000	-1.96939012	-1.97637276	-1.96939012	0.00698264
2864500000.000000	-1.96984021	-1.96536533	-1.96984021	-0.00447488
2865000000.000000	-1.96646744	-1.96073933	-1.96646744	-0.00572811
2865500000.000000	-1.96306145	-1.95728710	-1.96306145	-0.00577436
2866000000.000000	-1.95682495	-1.95971995	-1.95682495	0.00289499
2866500000.000000	-1.95582087	-1.96304289	-1.95582087	0.00722201
2867000000.000000	-1.96562653	-1.95887773	-1.96562653	-0.00674880
2867500000.000000	-1.96853618	-1.96905043	-1.96853618	0.00051425
2868000000.000000	-1.97619038	-1.98351531	-1.97619038	0.00732493
2868500000.000000	-1.98926914	-1.98792700	-1.98926914	-0.00134214
2869000000.000000	-1.99619739	-1.99681554	-1.99619739	0.00061815
2869500000.000000	-1.98931181	-1.98900208	-1.98931181	-0.00030972
2870000000.000000	-1.97727783	-1.97674110	-1.97727783	-0.00053673
2870500000.000000	-1.96651499	-1.96804049	-1.96651499	0.00152550
2871000000.000000	-1.95798406	-1.96644725	-1.95798406	0.00846319
2871500000.000000	-1.95997691	-1.95819217	-1.95997691	-0.00178474
2872000000.000000	-1.96407009	-1.95621918	-1.96407009	-0.00785091
2872500000.000000	-1.96257358	-1.96091553	-1.96257358	-0.00165805
2873000000.000000	-1.96682276	-1.96487909	-1.96682276	-0.00194367
2873500000.000000	-1.97424963	-1.96736893	-1.97424963	-0.00688070
2874000000.000000	-1.97557874	-1.97938337	-1.97557874	0.00380463
2874500000.000000	-1.98589181	-1.98549481	-1.98589181	-0.00039701
2875000000.000000	-1.99866151	-1.99109981	-1.99866151	-0.00756170
2875500000.000000	-2.00286249	-2.00244790	-2.00286249	-0.00041459
2876000000.000000	-2.01321757	-2.00849941	-2.01321757	-0.00471817
2876500000.000000	-2.01992794	-2.01537587	-2.01992794	-0.00455207
2877000000.000000	-2.02633966	-2.02191949	-2.02633966	-0.00442017
2877500000.000000	-2.02918091	-2.03030517	-2.02918091	0.00112426
2878000000.000000	-2.03641042	-2.03316987	-2.03641042	-0.00324054
2878500000.000000	-2.03842639	-2.04028897	-2.03842639	0.00186258
2879000000.000000	-2.03966236	-2.03970177	-2.03966236	0.00003941
2879500000.000000	-2.04787380	-2.04785589	-2.04787380	-0.00001791
2880000000.000000	-2.05158691	-2.05147292	-2.05158691	-0.00011399
2880500000.000000	-2.05450144	-2.05494795	-2.05450144	0.00044651
2881000000.000000	-2.05805953	-2.05797583	-2.05805953	-0.00008370
2881500000.000000	-2.06015562	-2.06105483	-2.06015562	0.00089921
2882000000.000000	-2.06234095	-2.06307048	-2.06234095	0.00072953
2882500000.000000	-2.06438038	-2.06440252	-2.06438038	0.00002215
2883000000.000000	-2.06591337	-2.06573782	-2.06591337	-0.00017554
2883500000.000000	-2.06671650	-2.06684905	-2.06671650	0.00013255
