# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.07280547	-2.07383658	-2.07280547	0.00103111
2840500000.000000	-2.07335098	-2.07362912	-2.07335098	0.00027813
2841000000.000000	-2.07395578	-2.07379554	-2.07395578	-0.00016024
2841500000.000000	-2.07323895	-2.07386231	-2.07323895	0.00062336
2842000000.000000	-2.07399681	-2.07382681	-2.07399681	-0.00017001
2842500000.000000	-2.07396880	-2.07343924	-2.07396880	-0.00052956
2843000000.000000	-2.07359297	-2.07350471	-2.07359297	-0.00008826
2843500000.000000	-2.07344315	-2.07342394	-2.07344315	-0.00001922
2844000000.000000	-2.07273870	-2.07327575	-2.07273870	0.00053705
2844500000.000000	-2.07309304	-2.07315329	-2.07309304	0.00006025
2845000000.000000	-2.07290545	-2.07294355	-2.07290545	0.00003810
2845500000.000000	-2.07294388	-2.07289503	-2.07294388	-0.00004885
2846000000.000000	-2.07234104	-2.07293965	-2.07234104	0.00059860
2846500000.000000	-2.07248402	-2.07258009	-2.07248402	0.00009608
2847000000.000000	-2.07153172	-2.07174928	-2.07153172	0.00021756
2847500000.000000	-2.07166036	-2.07167404	-2.07166036	0.00001368
2848000000.000000	-2.07109107	-2.07137832	-2.07109107	0.00028725
2848500000.000000	-2.07084388	-2.07078232	-2.07084388	-0.00006155
2849000000.000000	-2.07085918	-2.07082825	-2.07085918	-0.00003094
2849500000.000000	-2.07066671	-2.07075334	-2.07066671	0.00008663
2850000000.000000	-2.07063837	-2.07058952	-2.07063837	-0.00004885
2850500000.000000	-2.07018144	-2.06962876	-2.07018144	-0.00055268
2851000000.000000	-2.06925194	-2.06934541	-2.06925194	0.00009347
2851500000.000000	-2.06842601	-2.06858950	-2.06842601	0.00016349
2852000000.000000	-2.06775347	-2.06757663	-2.06775347	-0.00017685
2852500000.000000	-2.06669045	-2.06643934	-2.06669045	-0.00025110
2853000000.000000	-2.06584595	-2.06623286	-2.06584595	0.00038691
2853500000.000000	-2.06504412	-2.06471779	-2.06504412	-0.00032633
2854000000.000000	-2.06303629	-2.06330986	-2.06303629	0.00027357
2854500000.000000	-2.06216541	-2.06247253	-2.06216541	0.00030712
2855000000.000000	-2.06045199	-2.06110368	-2.06045199	0.00065169
2855500000.000000	-2.05923720	-2.05915252	-2.05923720	-0.00008468
2856000000.000000	-2.05765601	-2.05668124	-2.05765601	-0.00097477
2856500000.000000	-2.05536059	-2.05404256	-2.05536059	-0.00131804
2857000000.000000	-2.05188686	-2.05326515	-2.05188686	0.00137829
2857500000.000000	-2.05021350	-2.04851605	-2.05021350	-0.00169746
2858000000.000000	-2.04615745	-2.04585326	-2.04615745	-0.00030419
2858500000.000000	-2.04146632	-2.04329372	-2.04146632	0.00182741
2859000000.000000	-2.03722104	-2.03942331	-2.03722104	0.00220227
2859500000.000000	-2.03361443	-2.03348058	-2.03361443	-0.00013386
2860000000.000000	-2.02710664	-2.03006026	-2.02710664	0.00295362
2860500000.000000	-2.02145963	-2.02533883	-2.02145963	0.00387921
2861000000.000000	-2.01884179	-2.01465448	-2.01884179	-0.00418730
2861500000.000000	-2.01317816	-2.00772656	-2.01317816	-0.00545160
2862000000.000000	-2.00391803	-2.00164900	-2.00391803	-0.00226903
2862500000.000000	-1.99697415	-1.99190164	-1.99697415	-0.00507251
2863000000.000000	-1.98861941	-1.98387193	-1.98861941	-0.00474748
2863500000.000000	-1.97618386	-1.97493910	-1.97618386	-0.00124476
2864000000.000000	-1.96962754	-1.96475924	-1.96962754	-0.00486831
2864500000.000000	-1.96189127	-1.95946559	-1.96189127	-0.00242569
2865000000.000000	-1.95401724	-1.96384570	-1.95401724	0.00982845
2865500000.000000	-1.95402929	-1.95898423	-1.95402929	0.00495494
2866000000.000000	-1.95019047	-1.96024820	-1.95019047	0.01005773
2866500000.000000	-1.95105776	-1.95460640	-1.95105776	0.00354864
2867000000.000000	-1.95620778	-1.95630972	-1.95620778	0.00010194
2867500000.000000	-1.96322983	-1.96661498	-1.96322983	0.00338515
2868000000.000000	-1.97279253	-1.97883622	-1.97279253	0.00604369
2868500000.000000	-1.98966094	-1.98604749	-1.98966094	-0.00361345
2869000000.000000	-1.99574860	-1.99087443	-1.99574860	-0.00487417
2869500000.000000	-1.98564723	-1.98529614	-1.98564723	-0.00035109
2870000000.000000	-1.97105729	-1.97722116	-1.97105729	0.00616387
2870500000.000000	-1.96092432	-1.96779004	-1.96092432	0.00686572
2871000000.000000	-1.95885331	-1.95596417	-1.95885331	-0.00288913
2871500000.000000	-1.94990843	-1.95561179	-1.94990843	0.00570336
2872000000.000000	-1.95715226	-1.95372901	-1.95715226	-0.00342325
2872500000.000000	-1.95304019	-1.96311258	-1.95304019	0.01007239
2873000000.000000	-1.95703990	-1.96464427	-1.95703990	0.00760437
2873500000.000000	-1.96979006	-1.96153856	-1.96979006	-0.00825150
2874000000.000000	-1.97120026	-1.97431705	-1.97120026	0.00311678
2874500000.000000	-1.97782367	-1.98613803	-1.97782367	0.00831435
2875000000.000000	-1.98744337	-1.99296304	-1.98744337	0.00551967
2875500000.000000	-1.99358249	-1.99251685	-1.99358249	-0.00106563
2876000000.000000	-2.00189228	-2.00142590	-2.00189228	-0.00046638
2876500000.000000	-2.01163964	-2.01548465	-2.01163964	0.00384501
2877000000.000000	-2.02181234	-2.01883267	-2.02181234	-0.00297967
2877500000.000000	-2.02637841	-2.02462950	-2.02637841	-0.00174892
2878000000.000000	-2.03033188	-2.03150629	-2.03033188	0.00117441
2878500000.000000	-2.03412640	-2.03645406	-2.03412640	0.00232765
2879000000.000000	-2.04058209	-2.03915625	-2.04058209	-0.00142584
2879500000.000000	-2.04377638	-2.04471598	-2.04377638	0.00093959
2880000000.000000	-2.04719964	-2.04839978	-2.04719964	0.00120014
2880500000.000000	-2.05139997	-2.05122052	-2.05139997	-0.00017945
2881000000.000000	-2.05458710	-2.05441514	-2.05458710	-0.00017196
2881500000.000000	-2.05720950	-2.05733619	-2.05720950	0.00012669
2882000000.000000	-2.05934923	-2.05914568	-2.05934923	-0.00020355
2882500000.000000	-2.05976838	-2.05908315	-2.05976838	-0.00068524
2883000000.000000	-2.05877798	-2.05941274	-2.05877798	0.00063476
2883500000.000000	-2.06350136	-2.06339551	-2.06350136	-0.00010585
2884000000.000000	-2.06255688	-2.06216248	-2.06255688	-0.00039440
2884500000.000000	-2.06614851	-2.06605895	-2.06614851	-0.00008956
2885000000.000000	-2.06743072	-2.06660870	-2.06743072	-0.00082202
2885500000.000000	-2.06810358	-2.06806515	-2.06810358	-0.00003843
2886000000.000000	-2.06788961	-2.06841233	-2.06788961	0.00052272
2886500000.000000	-2.06935518	-2.06940273	-2.06935518	0.00004755
2887000000.000000	-2.06962387	-2.06955352	-2.06962387	-0.00007035
2887500000.000000	-2.07013715	-2.07005410	-2.07013715	-0.00008305
2888000000.000000	-2.07060157	-2.07066931	-2.07060157	0.00006774
2888500000.000000	-2.07123730	-2.07120245	-2.07123730	-0.00003485
