# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.07542558	-2.07524027	-2.07542558	-0.00018531
2840500000.000000	-2.07485955	-2.07480972	-2.07485955	-0.00004983
2841000000.000000	-2.07464134	-2.07462343	-2.07464134	-0.00001791
2841500000.000000	-2.07501425	-2.07509404	-2.07501425	0.00007979
2842000000.000000	-2.07456155	-2.07456350	-2.07456155	0.00000195
2842500000.000000	-2.07432152	-2.07431859	-2.07432152	-0.00000293
2843000000.000000	-2.07473058	-2.07471787	-2.07473058	-0.00001270
2843500000.000000	-2.07428309	-2.07412513	-2.07428309	-0.00015796
2844000000.000000	-2.07380303	-2.07377828	-2.07380303	-0.00002475
2844500000.000000	-2.07363921	-2.07366494	-2.07363921	0.00002573
2845000000.000000	-2.07293509	-2.07294388	-2.07293509	0.00000879
2845500000.000000	-2.07290382	-2.07288135	-2.07290382	-0.00002247
2846000000.000000	-2.07272730	-2.07274782	-2.07272730	0.00002052
2846500000.000000	-2.07279667	-2.07281752	-2.07279667	0.00002084
2847000000.000000	-2.07229447	-2.07228177	-2.07229447	-0.00001270
2847500000.000000	-2.07206258	-2.07207854	-2.07206258	0.00001596
2848000000.000000	-2.07164603	-2.07170889	-2.07164603	0.00006286
2848500000.000000	-2.07145649	-2.07151055	-2.07145649	0.00005406
2849000000.000000	-2.07146040	-2.07136497	-2.07146040	-0.00009543
2849500000.000000	-2.07103115	-2.07117151	-2.07103115	0.00014037
2850000000.000000	-2.07060646	-2.07059278	-2.07060646	-0.00001368
2850500000.000000	-2.07023974	-2.07019023	-2.07023974	-0.00004950
2851000000.000000	-2.07016841	-2.07001078	-2.07016841	-0.00015763
2851500000.000000	-2.07001925	-2.07003781	-2.07001925	0.00001856
2852000000.000000	-2.06800392	-2.06793716	-2.06800392	-0.00006676
2852500000.000000	-2.06694024	-2.06696988	-2.06694024	0.00002964
2853000000.000000	-2.06564989	-2.06571796	-2.06564989	0.00006807
2853500000.000000	-2.06435497	-2.06436996	-2.06435497	0.00001498
2854000000.000000	-2.06265491	-2.06267999	-2.06265491	0.00002508
2854500000.000000	-2.06181042	-2.06190454	-2.06181042	0.00009412
2855000000.000000	-2.05933230	-2.05927074	-2.05933230	-0.00006155
2855500000.000000	-2.05723685	-2.05723946	-2.05723685	0.00000261
2856000000.000000	-2.05599046	-2.05589276	-2.05599046	-0.00009770
2856500000.000000	-2.05329609	-2.05335146	-2.05329609	0.00005537
2857000000.000000	-2.05110262	-2.05116873	-2.05110262	0.00006611
2857500000.000000	-2.04717358	-2.04703549	-2.04717358	-0.00013809
2858000000.000000	-2.04466843	-2.04467690	-2.04466843	0.00000847
2858500000.000000	-2.04174282	-2.04182522	-2.04174282	0.00008240
2859000000.000000	-2.03805609	-2.03805740	-2.03805609	0.00000130
2859500000.000000	-2.03358610	-2.03360368	-2.03358610	0.00001759
2860000000.000000	-2.02893079	-2.02895196	-2.02893079	0.00002117
2860500000.000000	-2.02283629	-2.02279265	-2.02283629	-0.00004364
2861000000.000000	-2.01707333	-2.01701894	-2.01707333	-0.00005439
2861500000.000000	-2.01025419	-2.01031085	-2.01025419	0.00005667
2862000000.000000	-2.00330086	-2.00324875	-2.00330086	-0.00005211
2862500000.000000	-1.99565741	-1.99561931	-1.99565741	-0.00003810
2863000000.000000	-1.98695875	-1.98689524	-1.98695875	-0.00006351
2863500000.000000	-1.97823697	-1.97816825	-1.97823697	-0.00006872
2864000000.000000	-1.97002846	-1.97016687	-1.97002846	0.00013842
2864500000.000000	-1.96165971	-1.96160532	-1.96165971	-0.00005439
2865000000.000000	-1.95771048	-1.95798569	-1.95771048	0.00027520
2865500000.000000	-1.95660381	-1.95670868	-1.95660381	0.00010487
2866000000.000000	-1.95533561	-1.95521836	-1.95533561	-0.00011725
2866500000.000000	-1.95587103	-1.95581827	-1.95587103	-0.00005276
2867000000.000000	-1.95884093	-1.95894254	-1.95884093	0.00010161
2867500000.000000	-1.96568255	-1.96566724	-1.96568255	-0.00001531
2868000000.000000	-1.97670105	-1.97609332	-1.97670105	-0.00060772
2868500000.000000	-1.98829047	-1.98833150	-1.98829047	0.00004104
2869000000.000000	-1.99390752	-1.99387918	-1.99390752	-0.00002833
2869500000.000000	-1.98621945	-1.98610090	-1.98621945	-0.00011855
2870000000.000000	-1.97451995	-1.97445546	-1.97451995	-0.00006449
2870500000.000000	-1.96448306	-1.96449771	-1.96448306	0.00001466
2871000000.000000	-1.95868949	-1.95861035	-1.95868949	-0.00007914
2871500000.000000	-1.95699757	-1.95703144	-1.95699757	0.00003387
2872000000.000000	-1.95678294	-1.95662759	-1.95678294	-0.00015535
2872500000.000000	-1.95890932	-1.95898488	-1.95890932	0.00007556
2873000000.000000	-1.96247262	-1.96241986	-1.96247262	-0.00005276
2873500000.000000	-1.96640882	-1.96654333	-1.96640882	0.00013451
2874000000.000000	-1.97306968	-1.97301790	-1.97306968	-0.00005178
2874500000.000000	-1.98186116	-1.98209110	-1.98186116	0.00022993
2875000000.000000	-1.98983225	-1.98997718	-1.98983225	0.00014493
2875500000.000000	-1.99816842	-1.99836416	-1.99816842	0.00019574
2876000000.000000	-2.00629909	-2.00607600	-2.00629909	-0.00022309
2876500000.000000	-2.01250758	-2.01248088	-2.01250758	-0.00002671
2877000000.000000	-2.01888803	-2.01895773	-2.01888803	0.00006970
2877500000.000000	-2.02540462	-2.02544468	-2.02540462	0.00004006
2878000000.000000	-2.03044358	-2.03047713	-2.03044358	0.00003355
2878500000.000000	-2.03526792	-2.03515100	-2.03526792	-0.00011692
2879000000.000000	-2.03473478	-2.03467681	-2.03473478	-0.00005797
2879500000.000000	-2.04262477	-2.04270684	-2.04262477	0.00008207
2880000000.000000	-2.04746637	-2.04743934	-2.04746637	-0.00002703
2880500000.000000	-2.05063396	-2.05062256	-2.05063396	-0.00001140
2881000000.000000	-2.05411811	-2.05417902	-2.05411811	0.00006090
2881500000.000000	-2.05650993	-2.05666626	-2.05650993	0.00015633
2882000000.000000	-2.05970423	-2.05955995	-2.05970423	-0.00014428
2882500000.000000	-2.06109815	-2.06122940	-2.06109815	0.00013125
2883000000.000000	-2.06277313	-2.06266305	-2.06277313	-0.00011008
2883500000.000000	-2.06426476	-2.06424685	-2.06426476	-0.00001791
2884000000.000000	-2.06545220	-2.06546262	-2.06545220	0.00001042
2884500000.000000	-2.06524735	-2.06531085	-2.06524735	0.00006351
2885000000.000000	-2.06720437	-2.06717343	-2.06720437	-0.00003094
2885500000.000000	-2.06911939	-2.06910636	-2.06911939	-0.00001303
2886000000.000000	-2.06871750	-2.06857257	-2.06871750	-0.00014493
2886500000.000000	-2.06934411	-2.06932717	-2.06934411	-0.00001694
2887000000.000000	-2.07005703	-2.07002576	-2.07005703	-0.00003127
2887500000.000000	-2.07076930	-2.07059375	-2.07076930	-0.00017554
2888000000.000000	-2.07117217	-2.07115816	-2.07117217	-0.00001400
2888500000.000000	-2.07135097	-2.07144411	-2.07135097	0.00009315
2889000000.000000	-2.07134250	-2.07144867	-2.07134250	0.00010617
2889500000.000000	-2.07136009	-2.07146495	-2.07136009	0.00010487
