# 扫描参数	信号	背景	对比度	差分信号	归一化对比度
2853500000.000000	-0.63267088	-0.63255819	-0.63267088	-0.00011269	0.04281957
2854000000.000000	-0.63094736	-0.63045656	-0.63094736	-0.00049080	0.04011026
2854500000.000000	-0.62974853	-0.62927987	-0.62974853	-0.00046866	0.03822573
2855000000.000000	-0.62859887	-0.62819567	-0.62859887	-0.00040320	0.03641850
2855500000.000000	-0.62778531	-0.62806312	-0.62778531	0.00027781	0.03513961
2856000000.000000	-0.62775958	-0.62712580	-0.62775958	-0.00063378	0.03509917
2856500000.000000	-0.62627349	-0.62636566	-0.62627349	0.00009217	0.03276308
2857000000.000000	-0.62559933	-0.62563352	-0.62559933	0.00003420	0.03170332
2857500000.000000	-0.62582405	-0.62555536	-0.62582405	-0.00026869	0.03205657
2858000000.000000	-0.62486361	-0.62502124	-0.62486361	0.00015763	0.03054679
2858500000.000000	-0.62467537	-0.62447540	-0.62467537	-0.00019997	0.03025088
2859000000.000000	-0.62352440	-0.62367910	-0.62352440	0.00015470	0.02844160
2859500000.000000	-0.62320295	-0.62316680	-0.62320295	-0.00003615	0.02793629
2860000000.000000	-0.62164098	-0.62235846	-0.62164098	0.00071748	0.02548092
2860500000.000000	-0.62155435	-0.62154262	-0.62155435	-0.00001172	0.02534473
2861000000.000000	-0.62063169	-0.62023305	-0.62063169	-0.00039864	0.02389434
2861500000.000000	-0.61972662	-0.61978263	-0.61972662	0.00005602	0.02247160
2862000000.000000	-0.61846362	-0.61779695	-0.61846362	-0.00066667	0.02048620
2862500000.000000	-0.61673424	-0.61668604	-0.61673424	-0.00004820	0.01776768
2863000000.000000	-0.61470850	-0.61462773	-0.61470850	-0.00008077	0.01458327
2863500000.000000	-0.61298661	-0.61355493	-0.61298661	0.00056832	0.01187652
2864000000.000000	-0.61108332	-0.61169430	-0.61108332	0.00061098	0.00888461
2864500000.000000	-0.61003300	-0.61018086	-0.61003300	0.00014786	0.00723353
2865000000.000000	-0.60849642	-0.60799422	-0.60849642	-0.00050220	0.00481808
2865500000.000000	-0.60774377	-0.60759363	-0.60774377	-0.00015014	0.00363494
2866000000.000000	-0.60686801	-0.60636385	-0.60686801	-0.00050416	0.00225827
2866500000.000000	-0.60611601	-0.60690481	-0.60611601	0.00078880	0.00107615
2867000000.000000	-0.60549884	-0.60552555	-0.60549884	0.00002671	0.00010598
2867500000.000000	-0.60543142	-0.60551740	-0.60543142	0.00008598	0.00000000
2868000000.000000	-0.60603003	-0.60609907	-0.60603003	0.00006904	0.00094099
2868500000.000000	-0.60706081	-0.60678236	-0.60706081	-0.00027846	0.00256135
2869000000.000000	-0.60856449	-0.60857459	-0.60856449	0.00001010	0.00492509
2869500000.000000	-0.61075243	-0.61067198	-0.61075243	-0.00008044	0.00836445
2870000000.000000	-0.61123932	-0.61037626	-0.61123932	-0.00086306	0.00912984
2870500000.000000	-0.61008641	-0.61016392	-0.61008641	0.00007751	0.00731749
2871000000.000000	-0.60836127	-0.60835312	-0.60836127	-0.00000814	0.00460562
2871500000.000000	-0.60708101	-0.60706277	-0.60708101	-0.00001824	0.00259309
2872000000.000000	-0.60624237	-0.60631044	-0.60624237	0.00006807	0.00127479
2872500000.000000	-0.60616421	-0.60600593	-0.60616421	-0.00015828	0.00115192
2873000000.000000	-0.60581866	-0.60615607	-0.60581866	0.00033741	0.00060872
2873500000.000000	-0.60668954	-0.60685401	-0.60668954	0.00016447	0.00197771
2874000000.000000	-0.60811603	-0.60823848	-0.60811603	0.00012246	0.00422011
2874500000.000000	-0.60918915	-0.60837788	-0.60918915	-0.00081128	0.00590703
2875000000.000000	-0.60995125	-0.60990077	-0.60995125	-0.00005048	0.00710502
2875500000.000000	-0.61152202	-0.61215384	-0.61152202	0.00063182	0.00957422
2876000000.000000	-0.61113055	-0.61133638	-0.61113055	0.00020583	0.00895884
2876500000.000000	-0.61128134	-0.61069218	-0.61128134	-0.00058916	0.00919588
2877000000.000000	-0.61222875	-0.61230594	-0.61222875	0.00007719	0.01068518
2877500000.000000	-0.61299052	-0.61249744	-0.61299052	-0.00049308	0.01188266
2878000000.000000	-0.61540741	-0.61525043	-0.61540741	-0.00015698	0.01568194
2878500000.000000	-0.61652874	-0.61652385	-0.61652874	-0.00000489	0.01744463
2879000000.000000	-0.61731168	-0.61752793	-0.61731168	0.00021625	0.01867539
2879500000.000000	-0.61816367	-0.61836298	-0.61816367	0.00019932	0.02001469
2880000000.000000	-0.61905538	-0.61908404	-0.61905538	0.00002866	0.02141644
2880500000.000000	-0.61948333	-0.61936381	-0.61948333	-0.00011953	0.02208916
2881000000.000000	-0.62032880	-0.62065774	-0.62032880	0.00032894	0.02341822
2881500000.000000	-0.62133060	-0.62118340	-0.62133060	-0.00014721	0.02499302
2882000000.000000	-0.62144134	-0.62169048	-0.62144134	0.00024915	0.02516708
2882500000.000000	-0.62261868	-0.62290365	-0.62261868	0.00028497	0.02701783
2883000000.000000	-0.62276263	-0.62286978	-0.62276263	0.00010715	0.02724412
2883500000.000000	-0.62338794	-0.62324757	-0.62338794	-0.00014037	0.02822709
2884000000.000000	-0.62352147	-0.62426859	-0.62352147	0.00074712	0.02843699
2884500000.000000	-0.62381328	-0.62414125	-0.62381328	0.00032796	0.02889571
2885000000.000000	-0.62438583	-0.62457896	-0.62438583	0.00019313	0.02979574
2885500000.000000	-0.62452913	-0.62444185	-0.62452913	-0.00008728	0.03002101
2886000000.000000	-0.62502678	-0.62482941	-0.62502678	-0.00019736	0.03080329
2886500000.000000	-0.62519320	-0.62532543	-0.62519320	0.00013223	0.03106490
2887000000.000000	-0.62535865	-0.62492647	-0.62535865	-0.00043218	0.03132498
2887500000.000000	-0.62495024	-0.62494764	-0.62495024	-0.00000261	0.03068297
2888000000.000000	-0.62535735	-0.62512806	-0.62535735	-0.00022928	0.03132293
2888500000.000000	-0.62528504	-0.62523163	-0.62528504	-0.00005341	0.03120927
2889000000.000000	-0.62487338	-0.62478708	-0.62487338	-0.00008631	0.03056215
2889500000.000000	-0.62474246	-0.62447344	-0.62474246	-0.00026901	0.03035634
2890000000.000000	-0.62455323	-0.62488120	-0.62455323	0.00032796	0.03005889
2890500000.000000	-0.62458548	-0.62436336	-0.62458548	-0.00022212	0.03010958
2891000000.000000	-0.62503557	-0.62495643	-0.62503557	-0.00007914	0.03081711
2891500000.000000	-0.62515510	-0.62503525	-0.62515510	-0.00011985	0.03100500
2892000000.000000	-0.62533911	-0.62551204	-0.62533911	0.00017294	0.03129426
2892500000.000000	-0.62513490	-0.62566186	-0.62513490	0.00052695	0.03097326
2893000000.000000	-0.62513946	-0.62528635	-0.62513946	0.00014688	0.03098042
2893500000.000000	-0.62484863	-0.62495350	-0.62484863	0.00010487	0.03052324
2894000000.000000	-0.62492907	-0.62500984	-0.62492907	0.00008077	0.03064970
2894500000.000000	-0.62474864	-0.62442003	-0.62474864	-0.00032861	0.03036607
2895000000.000000	-0.62495936	-0.62460925	-0.62495936	-0.00035011	0.03069731
2895500000.000000	-0.62543095	-0.62497695	-0.62543095	-0.00045400	0.03143863
2896000000.000000	-0.62556155	-0.62575826	-0.62556155	0.00019671	0.03164393
2896500000.000000	-0.62562766	-0.62615983	-0.62562766	0.00053217	0.03174786
2897000000.000000	-0.62648388	-0.62641158	-0.62648388	-0.00007230	0.03309381
2897500000.000000	-0.62743357	-0.62702289	-0.62743357	-0.00041069	0.03458669
2898000000.000000	-0.62756417	-0.62744953	-0.62756417	-0.00011464	0.03479199
2898500000.000000	-0.62882326	-0.62773483	-0.62882326	-0.00108843	0.03677124
2899000000.000000	-0.62847804	-0.62861254	-0.62847804	0.00013451	0.03622856
2899500000.000000	-0.62896558	-0.62874607	-0.62896558	-0.00021951	0.03699497
2900000000.000000	-0.62819600	-0.62894116	-0.62819600	0.00074516	0.03578520
