# 扫描参数	信号	背景	对比度	差分信号	归一化对比度
2840000000.000000	-0.63540889	-0.63560430	-0.63540889	0.00019541	0.04712365
2840500000.000000	-0.63531347	-0.63535613	-0.63531347	0.00004266	0.04697364
2841000000.000000	-0.63489952	-0.63501123	-0.63489952	0.00011171	0.04632294
2841500000.000000	-0.63508614	-0.63449926	-0.63508614	-0.00058688	0.04661629
2842000000.000000	-0.63530435	-0.63427193	-0.63530435	-0.00103241	0.04695931
2842500000.000000	-0.63468946	-0.63470672	-0.63468946	0.00001726	0.04599272
2843000000.000000	-0.63564501	-0.63521055	-0.63564501	-0.00043446	0.04749482
2843500000.000000	-0.63449275	-0.63455332	-0.63449275	0.00006058	0.04568349
2844000000.000000	-0.63457710	-0.63521185	-0.63457710	0.00063476	0.04581609
2844500000.000000	-0.63525094	-0.63524345	-0.63525094	-0.00000749	0.04687534
2845000000.000000	-0.63539847	-0.63576226	-0.63539847	0.00036379	0.04710726
2845500000.000000	-0.63525094	-0.63525484	-0.63525094	0.00000391	0.04687534
2846000000.000000	-0.63614494	-0.63574272	-0.63614494	-0.00040222	0.04828068
2846500000.000000	-0.63543234	-0.63589351	-0.63543234	0.00046117	0.04716051
2847000000.000000	-0.63577626	-0.63565739	-0.63577626	-0.00011887	0.04770114
2847500000.000000	-0.63529686	-0.63537046	-0.63529686	0.00007360	0.04694753
2848000000.000000	-0.63490376	-0.63525256	-0.63490376	0.00034881	0.04632959
2848500000.000000	-0.63458947	-0.63434684	-0.63458947	-0.00024263	0.04583555
2849000000.000000	-0.63403256	-0.63442663	-0.63403256	0.00039408	0.04496009
2849500000.000000	-0.63450252	-0.63433056	-0.63450252	-0.00017196	0.04569885
2850000000.000000	-0.63476925	-0.63478488	-0.63476925	0.00001563	0.04611815
2850500000.000000	-0.63482299	-0.63458719	-0.63482299	-0.00023579	0.04620262
2851000000.000000	-0.63417749	-0.63410193	-0.63417749	-0.00007556	0.04518791
2851500000.000000	-0.63384268	-0.63398826	-0.63384268	0.00014558	0.04466161
2852000000.000000	-0.63261844	-0.63242792	-0.63261844	-0.00019052	0.04273715
2852500000.000000	-0.63224619	-0.63245886	-0.63224619	0.00021267	0.04215197
2853000000.000000	-0.63316038	-0.63360396	-0.63316038	0.00044358	0.04358905
