# 扫描参数	信号	背景	对比度	差分信号
2879500000.000000	-2.43368279	-2.43338642	0.00006089	-0.00029637
2880000000.000000	-2.43892954	-2.43864620	0.00005809	-0.00028334
2880500000.000000	-2.44382781	-2.44363566	0.00003932	-0.00019215
2881000000.000000	-2.44822127	-2.44833200	-0.00002261	0.00011073
2881500000.000000	-2.45137714	-2.45159209	-0.00004384	0.00021495
2882000000.000000	-2.45459814	-2.45457534	0.00000464	-0.00002280
2882500000.000000	-2.45915770	-2.45920981	-0.00001059	0.00005211
2883000000.000000	-2.45731433	-2.45718732	0.00002585	-0.00012702
2883500000.000000	-2.45916421	-2.45849656	0.00013577	-0.00066765
2884000000.000000	-2.46076657	-2.46088707	-0.00002448	0.00012050
2884500000.000000	-2.46257085	-2.46158078	0.00020107	-0.00099008
2885000000.000000	-2.46511769	-2.46497439	0.00002907	-0.00014330
2885500000.000000	-2.46602960	-2.46469756	0.00027015	-0.00133204
2886000000.000000	-2.46519911	-2.46545966	-0.00005284	0.00026055
2886500000.000000	-2.46716298	-2.46781760	-0.00013265	0.00065462
2887000000.000000	-2.46816934	-2.46830287	-0.00002705	0.00013353
2887500000.000000	-2.46902588	-2.46905845	-0.00000660	0.00003257
2888000000.000000	-2.46947207	-2.46828659	0.00024009	-0.00118549
2888500000.000000	-2.46793810	-2.46855690	-0.00012535	0.00061880
2889000000.000000	-2.47054031	-2.46980101	0.00014965	-0.00073930
2889500000.000000	-2.47041981	-2.47041981	0.00000000	0.00000000
2890000000.000000	-2.47169974	-2.47156621	0.00002701	-0.00013353
2890500000.000000	-2.47263771	-2.47249766	0.00002832	-0.00014004
2891000000.000000	-2.47287871	-2.47291779	-0.00000790	0.00003908
2891500000.000000	-2.47226969	-2.47243904	-0.00003425	0.00016936
2892000000.000000	-2.47141965	-2.47148805	-0.00001384	0.00006839
2892500000.000000	-2.47113631	-2.47113305	0.00000066	-0.00000326
2893000000.000000	-2.47014298	-2.46982706	0.00006395	-0.00031591
2893500000.000000	-2.46964794	-2.47001922	-0.00007516	0.00037128
2894000000.000000	-2.47046215	-2.46943950	0.00020702	-0.00102264
2894500000.000000	-2.46898680	-2.46914313	-0.00003166	0.00015633
2895000000.000000	-2.46964143	-2.46971308	-0.00001451	0.00007165
2895500000.000000	-2.47100604	-2.47100278	0.00000066	-0.00000326
2896000000.000000	-2.47180722	-2.47193098	-0.00002503	0.00012376
2896500000.000000	-2.47168671	-2.47346820	-0.00036025	0.00178148
2897000000.000000	-2.47258234	-2.47252697	0.00001120	-0.00005537
2897500000.000000	-2.46953721	-2.46975216	-0.00004352	0.00021495
2898000000.000000	-2.47038724	-2.47014298	0.00004944	-0.00024426
2898500000.000000	-2.47067384	-2.47083668	-0.00003295	0.00016284
2899000000.000000	-2.47101906	-2.46899657	0.00040941	-0.00202249
2899500000.000000	-2.47227294	-2.47190492	0.00007444	-0.00036802
2900000000.000000	-2.47437685	-2.47500868	-0.00012766	0.00063182
