# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.47763694	-2.47634072	0.00026165	-0.00129622
2840500000.000000	-2.47740896	-2.47655567	0.00017224	-0.00085329
2841000000.000000	-2.47756529	-2.47657521	0.00019985	-0.00099008
2841500000.000000	-2.47587174	-2.47483932	0.00020854	-0.00103241
2842000000.000000	-2.47461786	-2.47618439	-0.00031642	0.00156653
2842500000.000000	-2.47517478	-2.47645471	-0.00025849	0.00127993
2843000000.000000	-2.47475464	-2.47529528	-0.00010922	0.00054063
2843500000.000000	-2.47674131	-2.47638632	0.00007167	-0.00035499
2844000000.000000	-2.47400232	-2.47511290	-0.00022440	0.00111058
2844500000.000000	-2.46533590	-2.46732908	-0.00040408	0.00199318
2845000000.000000	-2.47352682	-2.47248789	0.00021005	-0.00103893
2845500000.000000	-2.47324673	-2.47441919	-0.00023697	0.00117246
2846000000.000000	-2.47503473	-2.47406094	0.00019676	-0.00097379
2846500000.000000	-2.47305458	-2.47506079	-0.00040545	0.00200621
2847000000.000000	-2.47333792	-2.47499565	-0.00033501	0.00165773
2847500000.000000	-2.47330210	-2.47425961	-0.00019353	0.00095751
2848000000.000000	-2.47300573	-2.47369292	-0.00013892	0.00068719
2848500000.000000	-2.47231854	-2.47364407	-0.00026800	0.00132553
2849000000.000000	-2.47184955	-2.47361801	-0.00035759	0.00176846
2849500000.000000	-2.47160529	-2.47293408	-0.00026874	0.00132879
2850000000.000000	-2.47135777	-2.47246184	-0.00022332	0.00110406
2850500000.000000	-2.47014623	-2.47196029	-0.00036706	0.00181405
2851000000.000000	-2.46935808	-2.47054357	-0.00023998	0.00118549
2851500000.000000	-2.46810420	-2.47118842	-0.00062442	0.00308422
2852000000.000000	-2.46881419	-2.46841686	0.00008048	-0.00039733
2852500000.000000	-2.46637808	-2.46805209	-0.00033925	0.00167401
2853000000.000000	-2.46336552	-2.46807163	-0.00095431	0.00470612
2853500000.000000	-2.46171756	-2.46969679	-0.00161804	0.00797923
2854000000.000000	-2.46830938	-2.46062001	0.00156005	-0.00768937
2854500000.000000	-2.46384102	-2.46157426	0.00046022	-0.00226675
2855000000.000000	-2.45964622	-2.46240150	-0.00055978	0.00275528
2855500000.000000	-2.45674765	-2.46150587	-0.00096746	0.00475822
2856000000.000000	-2.45107751	-2.46256760	-0.00233840	0.01149009
2856500000.000000	-2.44761550	-2.46212792	-0.00295584	0.01451242
2857000000.000000	-2.44475601	-2.45813505	-0.00272881	0.01337905
2857500000.000000	-2.45016234	-2.44487000	0.00108117	-0.00529234
2858000000.000000	-2.44328066	-2.44431308	-0.00021123	0.00103241
2858500000.000000	-2.43392706	-2.44725399	-0.00273027	0.01332694
