# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.53329938	-2.53362506	-0.00006428	0.00032568
2840500000.000000	-2.52971686	-2.53199664	-0.00045040	0.00227978
2841000000.000000	-2.53329938	-2.53460211	-0.00025706	0.00130273
2841500000.000000	-2.53167096	-2.53329938	-0.00032151	0.00162841
2842000000.000000	-2.53264801	-2.53460211	-0.00038563	0.00195410
2842500000.000000	-2.53395074	-2.53395074	0.00000000	0.00000000
2843000000.000000	-2.53557915	-2.53590484	-0.00006422	0.00032568
2843500000.000000	-2.53623052	-2.53460211	0.00032113	-0.00162841
2844000000.000000	-2.53329938	-2.53557915	-0.00044976	0.00227978
2844500000.000000	-2.53492779	-2.53264801	0.00044988	-0.00227978
2845000000.000000	-2.53395074	-2.53167096	0.00045005	-0.00227978
2845500000.000000	-2.53167096	-2.53199664	-0.00006432	0.00032568
2846000000.000000	-2.53264801	-2.53134528	0.00025725	-0.00130273
2846500000.000000	-2.52743709	-2.53134528	-0.00077256	0.00390819
2847000000.000000	-2.52873982	-2.52939118	-0.00012878	0.00065137
2847500000.000000	-2.53101960	-2.53199664	-0.00019298	0.00097705
2848000000.000000	-2.52808845	-2.52939118	-0.00025759	0.00130273
2848500000.000000	-2.52711140	-2.52646004	0.00012889	-0.00065137
2849000000.000000	-2.53101960	-2.53167096	-0.00012866	0.00065137
2849500000.000000	-2.53036823	-2.53004255	0.00006436	-0.00032568
2850000000.000000	-2.53264801	-2.52808845	0.00090097	-0.00455956
2850500000.000000	-2.52646004	-2.52646004	0.00000000	0.00000000
2851000000.000000	-2.52548299	-2.52776277	-0.00045115	0.00227978
2851500000.000000	-2.52808845	-2.52873982	-0.00012881	0.00065137
2852000000.000000	-2.52515731	-2.52483162	0.00006449	-0.00032568
2852500000.000000	-2.52646004	-2.52613435	0.00006446	-0.00032568
2853000000.000000	-2.52483162	-2.52548299	-0.00012898	0.00065137
2853500000.000000	-2.52190048	-2.52059775	0.00025835	-0.00130273
2854000000.000000	-2.51799229	-2.51896933	-0.00019398	0.00097705
2854500000.000000	-2.51799229	-2.51766660	0.00006468	-0.00032568
2855000000.000000	-2.51603819	-2.51506114	0.00019420	-0.00097705
2855500000.000000	-2.51180431	-2.51115295	0.00012968	-0.00065137
2856000000.000000	-2.50496498	-2.50691907	-0.00038989	0.00195410
2856500000.000000	-2.50496498	-2.50431361	0.00013003	-0.00065137
2857000000.000000	-2.50007973	-2.50040542	-0.00006513	0.00032568
2857500000.000000	-2.49552018	-2.49942837	-0.00078243	0.00390819
2858000000.000000	-2.49324040	-2.48965789	0.00071896	-0.00358251
2858500000.000000	-2.48705242	-2.48705242	0.00000000	0.00000000
2859000000.000000	-2.48216718	-2.48184150	0.00006561	-0.00032568
2859500000.000000	-2.47793331	-2.47923604	-0.00026280	0.00130273
2860000000.000000	-2.46881419	-2.46979124	-0.00019784	0.00097705
2860500000.000000	-2.46034644	-2.46099781	-0.00013236	0.00065137
2861000000.000000	-2.45253005	-2.45187869	0.00013281	-0.00065137
2861500000.000000	-2.44178252	-2.44145684	0.00006669	-0.00032568
2862000000.000000	-2.43461750	-2.43494319	-0.00006688	0.00032568
2862500000.000000	-2.42061314	-2.41637927	0.00087531	-0.00423388
2863000000.000000	-2.41409949	-2.41377381	0.00006746	-0.00032568
2863500000.000000	-2.40009513	-2.40270059	-0.00054249	0.00260546
2864000000.000000	-2.38771919	-2.38934760	-0.00034088	0.00162841
2864500000.000000	-2.38413668	-2.38120553	0.00061510	-0.00293114
2865000000.000000	-2.37632029	-2.37599461	0.00006853	-0.00032568
2865500000.000000	-2.37208642	-2.37241210	-0.00006864	0.00032568
2866000000.000000	-2.37045800	-2.37404051	-0.00075509	0.00358251
2866500000.000000	-2.37143505	-2.37338915	-0.00041184	0.00195410
2867000000.000000	-2.37697166	-2.37697166	0.00000000	0.00000000
2867500000.000000	-2.38771919	-2.38739350	0.00006820	-0.00032568
2868000000.000000	-2.40009513	-2.40270059	-0.00054249	0.00260546
2868500000.000000	-2.41540222	-2.41507654	0.00006742	-0.00032568
2869000000.000000	-2.41898473	-2.41898473	0.00000000	0.00000000
2869500000.000000	-2.40563174	-2.40726015	-0.00033834	0.00162841
2870000000.000000	-2.38967328	-2.39097601	-0.00027250	0.00130273
2870500000.000000	-2.37990280	-2.37957712	0.00006843	-0.00032568
2871000000.000000	-2.37241210	-2.37208642	0.00006864	-0.00032568
2871500000.000000	-2.36915527	-2.36785254	0.00027501	-0.00130273
2872000000.000000	-2.36948095	-2.36817822	0.00027497	-0.00130273
2872500000.000000	-2.37501756	-2.37501756	0.00000000	0.00000000
2873000000.000000	-2.37892575	-2.37860007	0.00006846	-0.00032568
2873500000.000000	-2.38609077	-2.38804487	-0.00040931	0.00195410
2874000000.000000	-2.39032465	-2.39195306	-0.00034051	0.00162841
2874500000.000000	-2.40432901	-2.40237491	0.00040654	-0.00195410
2875000000.000000	-2.41605359	-2.41800768	-0.00040423	0.00195410
2875500000.000000	-2.42680112	-2.42875521	-0.00040245	0.00195410
2876000000.000000	-2.43689728	-2.43624592	0.00013366	-0.00065137
2876500000.000000	-2.44699345	-2.44634208	0.00013311	-0.00065137
2877000000.000000	-2.45708961	-2.45253005	0.00092870	-0.00455956
2877500000.000000	-2.46327758	-2.46164917	0.00033065	-0.00162841
2878000000.000000	-2.47076829	-2.47239670	-0.00032943	0.00162841
2878500000.000000	-2.47956172	-2.47891036	0.00013136	-0.00065137
2879000000.000000	-2.48314423	-2.48574969	-0.00052435	0.00260546
2879500000.000000	-2.49226335	-2.49486881	-0.00052244	0.00260546
2880000000.000000	-2.49486881	-2.49096062	0.00078386	-0.00390819
2880500000.000000	-2.49877700	-2.49942837	-0.00013032	0.00065137
2881000000.000000	-2.50040542	-2.50073110	-0.00006512	0.00032568
2881500000.000000	-2.50659339	-2.50626771	0.00006497	-0.00032568
2882000000.000000	-2.50691907	-2.50919885	-0.00045449	0.00227978
2882500000.000000	-2.51473546	-2.51213000	0.00051831	-0.00260546
2883000000.000000	-2.51245568	-2.51506114	-0.00051824	0.00260546
2883500000.000000	-2.51538682	-2.51375841	0.00032380	-0.00162841
2884000000.000000	-2.51734092	-2.51734092	0.00000000	0.00000000
2884500000.000000	-2.51994638	-2.51962070	0.00006463	-0.00032568
2885000000.000000	-2.52287753	-2.52287753	0.00000000	0.00000000
2885500000.000000	-2.52450594	-2.52385458	0.00012903	-0.00065137
2886000000.000000	-2.52515731	-2.52418026	0.00019350	-0.00097705
2886500000.000000	-2.52613435	-2.52678572	-0.00012891	0.00065137
2887000000.000000	-2.52873982	-2.52483162	0.00077335	-0.00390819
2887500000.000000	-2.52613435	-2.52808845	-0.00038663	0.00195410
2888000000.000000	-2.52873982	-2.52841413	0.00006440	-0.00032568
2888500000.000000	-2.52548299	-2.52743709	-0.00038673	0.00195410
2889000000.000000	-2.52939118	-2.52841413	0.00019318	-0.00097705
2889500000.000000	-2.53004255	-2.53167096	-0.00032171	0.00162841
2890000000.000000	-2.53069391	-2.53004255	0.00012871	-0.00065137
2890500000.000000	-2.52971686	-2.53036823	-0.00012873	0.00065137
2891000000.000000	-2.53069391	-2.53199664	-0.00025732	0.00130273
2891500000.000000	-2.53004255	-2.53264801	-0.00051464	0.00260546
2892000000.000000	-2.53232233	-2.53199664	0.00006431	-0.00032568
2892500000.000000	-2.53329938	-2.53329938	0.00000000	0.00000000
2893000000.000000	-2.53297369	-2.53329938	-0.00006428	0.00032568
2893500000.000000	-2.53655620	-2.53069391	0.00115690	-0.00586229
2894000000.000000	-2.53232233	-2.53525347	-0.00057841	0.00293114
2894500000.000000	-2.53329938	-2.53101960	0.00045017	-0.00227978
2895000000.000000	-2.53232233	-2.53101960	0.00025729	-0.00130273
2895500000.000000	-2.53492779	-2.53525347	-0.00006423	0.00032568
2896000000.000000	-2.53134528	-2.53329938	-0.00038583	0.00195410
2896500000.000000	-2.53232233	-2.53199664	0.00006431	-0.00032568
2897000000.000000	-2.53264801	-2.53427642	-0.00032138	0.00162841
2897500000.000000	-2.53362506	-2.53525347	-0.00032126	0.00162841
2898000000.000000	-2.53264801	-2.53525347	-0.00051411	0.00260546
2898500000.000000	-2.53720757	-2.53590484	0.00025679	-0.00130273
2899000000.000000	-2.53655620	-2.53720757	-0.00012838	0.00065137
2899500000.000000	-2.53427642	-2.54079008	-0.00128346	0.00651365
2900000000.000000	-2.53590484	-2.53362506	0.00044970	-0.00227978
