# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.08024145	-2.08029389	-2.08024145	0.00005243
2840500000.000000	-2.08054010	-2.08078958	-2.08054010	0.00024947
2841000000.000000	-2.08066517	-2.08066842	-2.08066517	0.00000326
2841500000.000000	-2.08066256	-2.07994997	-2.08066256	-0.00071259
2842000000.000000	-2.08059417	-2.08081824	-2.08059417	0.00022407
2842500000.000000	-2.08016622	-2.08027011	-2.08016622	0.00010389
2843000000.000000	-2.08052480	-2.08027500	-2.08052480	-0.00024980
2843500000.000000	-2.07980960	-2.08049516	-2.07980960	0.00068556
2844000000.000000	-2.08011965	-2.08031831	-2.08011965	0.00019867
2844500000.000000	-2.08032939	-2.08056779	-2.08032939	0.00023840
2845000000.000000	-2.07991740	-2.08005972	-2.07991740	0.00014232
2845500000.000000	-2.08005060	-2.08003139	-2.08005060	-0.00001922
2846000000.000000	-2.08000403	-2.07994736	-2.08000403	-0.00005667
2846500000.000000	-2.07967281	-2.07969724	-2.07967281	0.00002443
2847000000.000000	-2.07984510	-2.07980992	-2.07984510	-0.00003517
2847500000.000000	-2.07992847	-2.07974837	-2.07992847	-0.00018010
2848000000.000000	-2.07963406	-2.07959562	-2.07963406	-0.00003843
2848500000.000000	-2.08078534	-2.08080749	-2.08078534	0.00002215
2849000000.000000	-2.07987864	-2.07983858	-2.07987864	-0.00004006
2849500000.000000	-2.07950508	-2.07953505	-2.07950508	0.00002996
2850000000.000000	-2.07924389	-2.07921979	-2.07924389	-0.00002410
2850500000.000000	-2.07949075	-2.07952691	-2.07949075	0.00003615
2851000000.000000	-2.07937970	-2.07903578	-2.07937970	-0.00034392
2851500000.000000	-2.07871433	-2.07871270	-2.07871433	-0.00000163
2852000000.000000	-2.07845280	-2.07861304	-2.07845280	0.00016024
2852500000.000000	-2.07837497	-2.07828052	-2.07837497	-0.00009445
2853000000.000000	-2.07771448	-2.07768191	-2.07771448	-0.00003257
2853500000.000000	-2.07763176	-2.07768061	-2.07763176	0.00004885
2854000000.000000	-2.07821766	-2.07822580	-2.07821766	0.00000814
2854500000.000000	-2.07720935	-2.07733474	-2.07720935	0.00012539
2855000000.000000	-2.07746989	-2.07742886	-2.07746989	-0.00004104
2855500000.000000	-2.07644855	-2.07638635	-2.07644855	-0.00006221
2856000000.000000	-2.07579458	-2.07585842	-2.07579458	0.00006383
2856500000.000000	-2.07507645	-2.07517578	-2.07507645	0.00009933
2857000000.000000	-2.07429318	-2.07422446	-2.07429318	-0.00006872
2857500000.000000	-2.07268985	-2.07271037	-2.07268985	0.00002052
2858000000.000000	-2.07185838	-2.07182516	-2.07185838	-0.00003322
2858500000.000000	-2.07066964	-2.07068136	-2.07066964	0.00001172
2859000000.000000	-2.06907216	-2.06898814	-2.06907216	-0.00008403
2859500000.000000	-2.06726918	-2.06731804	-2.06726918	0.00004885
2860000000.000000	-2.06530401	-2.06525093	-2.06530401	-0.00005309
2860500000.000000	-2.06252496	-2.06253506	-2.06252496	0.00001010
2861000000.000000	-2.06016897	-2.05981170	-2.06016897	-0.00035727
2861500000.000000	-2.05626436	-2.05624222	-2.05626436	-0.00002215
2862000000.000000	-2.05275871	-2.05261085	-2.05275871	-0.00014786
2862500000.000000	-2.04823694	-2.04830793	-2.04823694	0.00007100
2863000000.000000	-2.04285698	-2.04279575	-2.04285698	-0.00006123
2863500000.000000	-2.03638827	-2.03653939	-2.03638827	0.00015112
2864000000.000000	-2.02957597	-2.02957597	-2.02957597	0.00000000
2864500000.000000	-2.02466337	-2.02444027	-2.02466337	-0.00022309
2865000000.000000	-2.02080142	-2.02099618	-2.02080142	0.00019476
2865500000.000000	-2.01416563	-2.01397739	-2.01416563	-0.00018824
2866000000.000000	-2.01376211	-2.01375821	-2.01376211	-0.00000391
2866500000.000000	-2.01426399	-2.01416824	-2.01426399	-0.00009575
2867000000.000000	-2.01655810	-2.01676035	-2.01655810	0.00020225
2867500000.000000	-2.02152639	-2.02177652	-2.02152639	0.00025012
2868000000.000000	-2.03182220	-2.03189352	-2.03182220	0.00007132
2868500000.000000	-2.04483811	-2.04487947	-2.04483811	0.00004136
2869000000.000000	-2.05074469	-2.05090558	-2.05074469	0.00016089
2869500000.000000	-2.04405191	-2.04407406	-2.04405191	0.00002215
2870000000.000000	-2.03177237	-2.03163851	-2.03177237	-0.00013386
2870500000.000000	-2.02205758	-2.02195434	-2.02205758	-0.00010324
2871000000.000000	-2.01742637	-2.01768171	-2.01742637	0.00025534
