# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.47747084	-2.47805381	-2.47747084	0.00058297
2840500000.000000	-2.47802450	-2.47846417	-2.47802450	0.00043967
2841000000.000000	-2.47946076	-2.47939888	-2.47946076	-0.00006188
2841500000.000000	-2.47794634	-2.47763042	-2.47794634	-0.00031591
2842000000.000000	-2.47765973	-2.47727869	-2.47765973	-0.00038105
2842500000.000000	-2.47734708	-2.47691718	-2.47734708	-0.00042990
2843000000.000000	-2.47683576	-2.47702140	-2.47683576	0.00018564
2843500000.000000	-2.47744478	-2.47814500	-2.47744478	0.00070022
2844000000.000000	-2.47722332	-2.47844137	-2.47722332	0.00121805
2844500000.000000	-2.47633746	-2.47628861	-2.47633746	-0.00004885
2845000000.000000	-2.47570564	-2.47611926	-2.47570564	0.00041362
2845500000.000000	-2.47600852	-2.47565679	-2.47600852	-0.00035174
2846000000.000000	-2.47542229	-2.47520734	-2.47542229	-0.00021495
2846500000.000000	-2.47405117	-2.47576100	-2.47405117	0.00170983
2847000000.000000	-2.47352682	-2.47474487	-2.47352682	0.00121805
2847500000.000000	-2.47525294	-2.47526271	-2.47525294	0.00000977
2848000000.000000	-2.47487840	-2.47295688	-2.47487840	-0.00192153
2848500000.000000	-2.47365709	-2.47370595	-2.47365709	0.00004885
2849000000.000000	-2.47350728	-2.47363430	-2.47350728	0.00012702
2849500000.000000	-2.47323696	-2.47333792	-2.47323696	0.00010096
2850000000.000000	-2.47257257	-2.47249766	-2.47257257	-0.00007491
2850500000.000000	-2.47532459	-2.47541904	-2.47532459	0.00009445
2851000000.000000	-2.47161506	-2.47156947	-2.47161506	-0.00004560
2851500000.000000	-2.47154341	-2.47153690	-2.47154341	-0.00000651
2852000000.000000	-2.46914639	-2.46801301	-2.46914639	-0.00113338
2852500000.000000	-2.46654093	-2.46688615	-2.46654093	0.00034522
2853000000.000000	-2.46632597	-2.46617616	-2.46632597	-0.00014981
2853500000.000000	-2.46397780	-2.46361304	-2.46397780	-0.00036476
2854000000.000000	-2.46189995	-2.46268484	-2.46189995	0.00078490
2854500000.000000	-2.45849656	-2.45940196	-2.45849656	0.00090540
2855000000.000000	-2.45507689	-2.45571523	-2.45507689	0.00063834
2855500000.000000	-2.45298601	-2.45309348	-2.45298601	0.00010748
2856000000.000000	-2.45063458	-2.45140645	-2.45063458	0.00077187
2856500000.000000	-2.44429679	-2.44401671	-2.44429679	-0.00028009
2857000000.000000	-2.44164248	-2.44174995	-2.44164248	0.00010748
2857500000.000000	-2.43865597	-2.43887743	-2.43865597	0.00022146
2858000000.000000	-2.43680283	-2.43682563	-2.43680283	0.00002280
2858500000.000000	-2.43128902	-2.43144861	-2.43128902	0.00015958
2859000000.000000	-2.42947823	-2.42907113	-2.42947823	-0.00040710
2859500000.000000	-2.42322186	-2.42334888	-2.42322186	0.00012702
2860000000.000000	-2.41963284	-2.41961656	-2.41963284	-0.00001628
2860500000.000000	-2.41193370	-2.41166013	-2.41193370	-0.00027357
2861000000.000000	-2.39892267	-2.39722261	-2.39892267	-0.00170006
2861500000.000000	-2.38776478	-2.38723066	-2.38776478	-0.00053412
2862000000.000000	-2.37723546	-2.37776958	-2.37723546	0.00053412
2862500000.000000	-2.36481392	-2.36352096	-2.36481392	-0.00129296
2863000000.000000	-2.35332709	-2.35341502	-2.35332709	0.00008793
2863500000.000000	-2.34468673	-2.34370968	-2.34468673	-0.00097705
2864000000.000000	-2.33537220	-2.33448960	-2.33537220	-0.00088260
