# 扫描参数	信号	背景	对比度	差分信号	归一化对比度
2840000000.000000	-0.60026349	-0.60001043	-0.60026349	-0.00025306	0.99750771
2840500000.000000	-0.59974793	-0.60010553	-0.59974793	0.00035760	0.99665097
2841000000.000000	-0.59919883	-0.59903925	-0.59919883	-0.00015958	0.99573848
2841500000.000000	-0.59883863	-0.60017588	-0.59883863	0.00133725	0.99513990
2842000000.000000	-0.59895490	-0.59850676	-0.59895490	-0.00044814	0.99533311
2842500000.000000	-0.59827617	-0.59825012	-0.59827617	-0.00002605	0.99420522
2843000000.000000	-0.59819052	-0.59796059	-0.59819052	-0.00022993	0.99406288
2843500000.000000	-0.59840384	-0.59800390	-0.59840384	-0.00039994	0.99441738
2844000000.000000	-0.59848689	-0.59791108	-0.59848689	-0.00057581	0.99455539
2844500000.000000	-0.59834587	-0.59788861	-0.59834587	-0.00045726	0.99432104
2845000000.000000	-0.59830288	-0.59849927	-0.59830288	0.00019639	0.99424960
2845500000.000000	-0.59787200	-0.59819931	-0.59787200	0.00032731	0.99353357
2846000000.000000	-0.59777462	-0.59757824	-0.59777462	-0.00019639	0.99337175
2846500000.000000	-0.59725027	-0.59823514	-0.59725027	0.00098486	0.99250040
2847000000.000000	-0.59675426	-0.59703597	-0.59675426	0.00028172	0.99167613
2847500000.000000	-0.59645854	-0.59656341	-0.59645854	0.00010487	0.99118471
2848000000.000000	-0.59581629	-0.59594266	-0.59581629	0.00012636	0.99011743
2848500000.000000	-0.59587524	-0.59526491	-0.59587524	-0.00061033	0.99021539
2849000000.000000	-0.59516232	-0.59519098	-0.59516232	0.00002866	0.98903067
2849500000.000000	-0.59511575	-0.59513268	-0.59511575	0.00001694	0.98895328
2850000000.000000	-0.59499915	-0.59474870	-0.59499915	-0.00025045	0.98875952
2850500000.000000	-0.59472135	-0.59509946	-0.59472135	0.00037812	0.98829787
2851000000.000000	-0.59476629	-0.59470962	-0.59476629	-0.00005667	0.98837256
2851500000.000000	-0.59437124	-0.59399931	-0.59437124	-0.00037193	0.98771606
2852000000.000000	-0.59429177	-0.59359448	-0.59429177	-0.00069729	0.98758401
2852500000.000000	-0.59307567	-0.59321344	-0.59307567	0.00013776	0.98556311
2853000000.000000	-0.59268550	-0.59300239	-0.59268550	0.00031689	0.98491474
2853500000.000000	-0.59250931	-0.59255718	-0.59250931	0.00004788	0.98462194
2854000000.000000	-0.59214943	-0.59265749	-0.59214943	0.00050807	0.98402390
2854500000.000000	-0.59249856	-0.59221750	-0.59249856	-0.00028106	0.98460408
2855000000.000000	-0.59258747	-0.59220903	-0.59258747	-0.00037844	0.98475183
2855500000.000000	-0.59277474	-0.59268322	-0.59277474	-0.00009152	0.98506303
2856000000.000000	-0.59298090	-0.59350753	-0.59298090	0.00052663	0.98540562
2856500000.000000	-0.59311410	-0.59353326	-0.59311410	0.00041915	0.98562698
2857000000.000000	-0.59339712	-0.59334794	-0.59339712	-0.00004918	0.98609729
2857500000.000000	-0.59326261	-0.59300370	-0.59326261	-0.00025892	0.98587377
2858000000.000000	-0.59236308	-0.59320204	-0.59236308	0.00083896	0.98437894
2858500000.000000	-0.59222369	-0.59239695	-0.59222369	0.00017326	0.98414730
2859000000.000000	-0.59137593	-0.59224160	-0.59137593	0.00086566	0.98273852
2859500000.000000	-0.59127986	-0.59043406	-0.59127986	-0.00084580	0.98257886
2860000000.000000	-0.58960617	-0.58963027	-0.58960617	0.00002410	0.97979756
2860500000.000000	-0.58929775	-0.58793477	-0.58929775	-0.00136298	0.97928503
2861000000.000000	-0.58688216	-0.58756968	-0.58688216	0.00068752	0.97527085
2861500000.000000	-0.58593182	-0.58570352	-0.58593182	-0.00022830	0.97369158
2862000000.000000	-0.58413047	-0.58399466	-0.58413047	-0.00013581	0.97069813
2862500000.000000	-0.58219005	-0.58204219	-0.58219005	-0.00014786	0.96747358
2863000000.000000	-0.58039847	-0.58043006	-0.58039847	0.00003159	0.96449636
2863500000.000000	-0.57854403	-0.57840366	-0.57854403	-0.00014037	0.96141468
2864000000.000000	-0.57733966	-0.57634763	-0.57733966	-0.00099203	0.95941327
2864500000.000000	-0.57486740	-0.57466939	-0.57486740	-0.00019802	0.95530492
2865000000.000000	-0.57361938	-0.57326797	-0.57361938	-0.00035141	0.95323099
2865500000.000000	-0.57220625	-0.57214600	-0.57220625	-0.00006025	0.95088266
2866000000.000000	-0.57101197	-0.57126535	-0.57101197	0.00025338	0.94889803
2866500000.000000	-0.57086378	-0.57085955	-0.57086378	-0.00000423	0.94865177
2867000000.000000	-0.57130899	-0.57063190	-0.57130899	-0.00067709	0.94939161
2867500000.000000	-0.57039057	-0.57052442	-0.57039057	0.00013386	0.94786539
2868000000.000000	-0.57101229	-0.57138943	-0.57101229	0.00037714	0.94889857
2868500000.000000	-0.57192649	-0.57182520	-0.57192649	-0.00010129	0.95041775
2869000000.000000	-0.57350181	-0.57271106	-0.57350181	-0.00079076	0.95303561
2869500000.000000	-0.57442317	-0.57436552	-0.57442317	-0.00005765	0.95456670
2870000000.000000	-0.57575782	-0.57402030	-0.57575782	-0.00173752	0.95678460
2870500000.000000	-0.57399457	-0.57351158	-0.57399457	-0.00048299	0.95385446
2871000000.000000	-0.57264299	-0.57285533	-0.57264299	0.00021235	0.95160843
2871500000.000000	-0.57146336	-0.57158680	-0.57146336	0.00012343	0.94964815
2872000000.000000	-0.57127089	-0.57034530	-0.57127089	-0.00092559	0.94932829
2872500000.000000	-0.57006716	-0.57001994	-0.57006716	-0.00004722	0.94732796
2873000000.000000	-0.56982616	-0.56890350	-0.56982616	-0.00092266	0.94692747
2873500000.000000	-0.56944348	-0.56977307	-0.56944348	0.00032959	0.94629154
