# 扫描参数	信号	背景	对比度	差分信号	归一化对比度
2874000000.000000	-0.56967439	-0.56996099	-0.56967439	0.00028660	0.94667526
2874500000.000000	-0.57085434	-0.57069345	-0.57085434	-0.00016089	0.94863608
2875000000.000000	-0.57123669	-0.57118947	-0.57123669	-0.00004722	0.94927146
2875500000.000000	-0.57222937	-0.57216944	-0.57222937	-0.00005993	0.95092108
2876000000.000000	-0.57370178	-0.57339173	-0.57370178	-0.00031005	0.95336791
2876500000.000000	-0.57497325	-0.57502568	-0.57497325	0.00005243	0.95548081
2877000000.000000	-0.57595779	-0.57564122	-0.57595779	-0.00031656	0.95711690
2877500000.000000	-0.57701691	-0.57742368	-0.57701691	0.00040678	0.95887693
2878000000.000000	-0.57859419	-0.57900064	-0.57859419	0.00040645	0.96149803
2878500000.000000	-0.58093813	-0.57976013	-0.58093813	-0.00117799	0.96539315
2879000000.000000	-0.58135565	-0.58152436	-0.58135565	0.00016870	0.96608698
2879500000.000000	-0.58283816	-0.58297462	-0.58283816	0.00013646	0.96855059
2880000000.000000	-0.58327653	-0.58343416	-0.58327653	0.00015763	0.96927907
2880500000.000000	-0.58415196	-0.58425293	-0.58415196	0.00010096	0.97073385
2881000000.000000	-0.58509547	-0.58529088	-0.58509547	0.00019541	0.97230175
2881500000.000000	-0.58634251	-0.58602008	-0.58634251	-0.00032243	0.97437405
2882000000.000000	-0.58748630	-0.58750291	-0.58748630	0.00001661	0.97627480
2882500000.000000	-0.58854738	-0.58854184	-0.58854738	-0.00000554	0.97803807
2883000000.000000	-0.59002793	-0.58988528	-0.59002793	-0.00014265	0.98049843
2883500000.000000	-0.59103397	-0.59137268	-0.59103397	0.00033871	0.98217024
2884000000.000000	-0.59195174	-0.59217451	-0.59195174	0.00022277	0.98369538
2884500000.000000	-0.59278647	-0.59295256	-0.59278647	0.00016610	0.98508252
2885000000.000000	-0.59305418	-0.59310270	-0.59305418	0.00004853	0.98552739
2885500000.000000	-0.59359188	-0.59358439	-0.59359188	-0.00000749	0.98642094
2886000000.000000	-0.59416117	-0.59415661	-0.59416117	-0.00000456	0.98736698
2886500000.000000	-0.59443019	-0.59457805	-0.59443019	0.00014786	0.98781402
2887000000.000000	-0.59474284	-0.59510695	-0.59474284	0.00036411	0.98833359
2887500000.000000	-0.59623219	-0.59676826	-0.59623219	0.00053607	0.99080856
2888000000.000000	-0.59819443	-0.59772544	-0.59819443	-0.00046898	0.99406938
2888500000.000000	-0.59893405	-0.59893666	-0.59893405	0.00000261	0.99529847
2889000000.000000	-0.59931673	-0.59948869	-0.59931673	0.00017196	0.99593440
2889500000.000000	-0.59937698	-0.59956262	-0.59937698	0.00018564	0.99603452
2890000000.000000	-0.59960073	-0.59977985	-0.59960073	0.00017913	0.99640634
2890500000.000000	-0.60011009	-0.60018109	-0.60011009	0.00007100	0.99725280
2891000000.000000	-0.60001239	-0.59996256	-0.60001239	-0.00004983	0.99709043
2891500000.000000	-0.59983554	-0.59980460	-0.59983554	-0.00003094	0.99679655
2892000000.000000	-0.60093537	-0.60081487	-0.60093537	-0.00012050	0.99862423
2892500000.000000	-0.60105294	-0.60121741	-0.60105294	0.00016447	0.99881961
2893000000.000000	-0.60171213	-0.60142748	-0.60171213	-0.00028465	0.99991503
2893500000.000000	-0.60131056	-0.60138384	-0.60131056	0.00007328	0.99924771
2894000000.000000	-0.60154798	-0.60120732	-0.60154798	-0.00034066	0.99964226
2894500000.000000	-0.60152812	-0.60140859	-0.60152812	-0.00011953	0.99960924
2895000000.000000	-0.60120146	-0.60073573	-0.60120146	-0.00046573	0.99906641
2895500000.000000	-0.60147340	-0.60134671	-0.60147340	-0.00012669	0.99951832
2896000000.000000	-0.60087773	-0.60144083	-0.60087773	0.00056311	0.99852844
2896500000.000000	-0.60086112	-0.60105620	-0.60086112	0.00019508	0.99850084
2897000000.000000	-0.60176326	-0.60153430	-0.60176326	-0.00022895	1.00000000
2897500000.000000	-0.60062695	-0.60069046	-0.60062695	0.00006351	0.99811170
2898000000.000000	-0.60044913	-0.60049375	-0.60044913	0.00004462	0.99781620
2898500000.000000	-0.60156068	-0.60106206	-0.60156068	-0.00049862	0.99966336
2899000000.000000	-0.60053999	-0.59997331	-0.60053999	-0.00056669	0.99796720
2899500000.000000	-0.59969843	-0.60008599	-0.59969843	0.00038756	0.99656870
2900000000.000000	-0.60036901	-0.60022180	-0.60036901	-0.00014721	0.99768306
