# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.07470745	-2.07472504	-2.07470745	0.00001759
2840500000.000000	-2.07498103	-2.07492859	-2.07498103	-0.00005243
2841000000.000000	-2.07482861	-2.07475891	-2.07482861	-0.00006970
2841500000.000000	-2.07482112	-2.07478724	-2.07482112	-0.00003387
2842000000.000000	-2.07446873	-2.07461887	-2.07446873	0.00015014
2842500000.000000	-2.07446970	-2.07428765	-2.07446970	-0.00018206
2843000000.000000	-2.07419711	-2.07410917	-2.07419711	-0.00008793
2843500000.000000	-2.07415737	-2.07413360	-2.07415737	-0.00002377
2844000000.000000	-2.07293378	-2.07332916	-2.07293378	0.00039538
2844500000.000000	-2.07320833	-2.07314678	-2.07320833	-0.00006155
2845000000.000000	-2.07358482	-2.07346367	-2.07358482	-0.00012115
2845500000.000000	-2.07318228	-2.07328129	-2.07318228	0.00009901
2846000000.000000	-2.07311617	-2.07316046	-2.07311617	0.00004429
2846500000.000000	-2.07251202	-2.07253873	-2.07251202	0.00002671
2847000000.000000	-2.07201601	-2.07221956	-2.07201601	0.00020355
2847500000.000000	-2.07221663	-2.07220295	-2.07221663	-0.00001368
2848000000.000000	-2.07183916	-2.07189876	-2.07183916	0.00005960
2848500000.000000	-2.07160174	-2.07153530	-2.07160174	-0.00006644
2849000000.000000	-2.07182483	-2.07182874	-2.07182483	0.00000391
2849500000.000000	-2.07081750	-2.07101193	-2.07081750	0.00019443
2850000000.000000	-2.07092530	-2.07100802	-2.07092530	0.00008272
2850500000.000000	-2.06963950	-2.06968054	-2.06963950	0.00004104
2851000000.000000	-2.06876016	-2.06902527	-2.06876016	0.00026511
2851500000.000000	-2.06882334	-2.06880348	-2.06882334	-0.00001987
2852000000.000000	-2.06689139	-2.06733725	-2.06689139	0.00044586
2852500000.000000	-2.06665820	-2.06673181	-2.06665820	0.00007360
2853000000.000000	-2.06496009	-2.06521673	-2.06496009	0.00025664
2853500000.000000	-2.06351471	-2.06348736	-2.06351471	-0.00002736
2854000000.000000	-2.06271972	-2.06263732	-2.06271972	-0.00008240
2854500000.000000	-2.06069593	-2.06081448	-2.06069593	0.00011855
2855000000.000000	-2.05866074	-2.05868223	-2.05866074	0.00002150
2855500000.000000	-2.05630670	-2.05625687	-2.05630670	-0.00004983
2856000000.000000	-2.05388655	-2.05384389	-2.05388655	-0.00004266
2856500000.000000	-2.05035029	-2.05069030	-2.05035029	0.00034001
2857000000.000000	-2.04852386	-2.04771910	-2.04852386	-0.00080476
2857500000.000000	-2.04422778	-2.04429129	-2.04422778	0.00006351
2858000000.000000	-2.04062931	-2.04062117	-2.04062931	-0.00000814
2858500000.000000	-2.03641042	-2.03640000	-2.03641042	-0.00001042
2859000000.000000	-2.03226611	-2.03247878	-2.03226611	0.00021267
2859500000.000000	-2.02721053	-2.02728544	-2.02721053	0.00007491
2860000000.000000	-2.02156645	-2.02186054	-2.02156645	0.00029409
2860500000.000000	-2.01605101	-2.01598425	-2.01605101	-0.00006676
2861000000.000000	-2.00865020	-2.00876126	-2.00865020	0.00011106
2861500000.000000	-2.00160535	-2.00163043	-2.00160535	0.00002508
2862000000.000000	-1.99403779	-1.99405668	-1.99403779	0.00001889
2862500000.000000	-1.98589409	-1.98591754	-1.98589409	0.00002345
2863000000.000000	-1.97637764	-1.97636103	-1.97637764	-0.00001661
2863500000.000000	-1.96793725	-1.96778841	-1.96793725	-0.00014884
2864000000.000000	-1.95954603	-1.95963266	-1.95954603	0.00008663
2864500000.000000	-1.95424001	-1.95419572	-1.95424001	-0.00004429
2865000000.000000	-1.94961922	-1.94964300	-1.94961922	0.00002377
2865500000.000000	-1.94631843	-1.94661382	-1.94631843	0.00029539
2866000000.000000	-1.94437736	-1.94424611	-1.94437736	-0.00013125
2866500000.000000	-1.94481442	-1.94502905	-1.94481442	0.00021462
2867000000.000000	-1.94878938	-1.94871578	-1.94878938	-0.00007360
2867500000.000000	-1.95493046	-1.95506268	-1.95493046	0.00013223
2868000000.000000	-1.96520477	-1.96506147	-1.96520477	-0.00014330
2868500000.000000	-1.97654244	-1.97679615	-1.97654244	0.00025371
2869000000.000000	-1.98129969	-1.98090105	-1.98129969	-0.00039864
2869500000.000000	-1.97411480	-1.97416658	-1.97411480	0.00005178
2870000000.000000	-1.96234625	-1.96245340	-1.96234625	0.00010715
2870500000.000000	-1.95273470	-1.95279365	-1.95273470	0.00005895
2871000000.000000	-1.94706554	-1.94711798	-1.94706554	0.00005243
2871500000.000000	-1.94452652	-1.94461315	-1.94452652	0.00008663
2872000000.000000	-1.94470044	-1.94469034	-1.94470044	-0.00001010
2872500000.000000	-1.94698087	-1.94691410	-1.94698087	-0.00006676
2873000000.000000	-1.95343622	-1.95375539	-1.95343622	0.00031917
2873500000.000000	-1.95837879	-1.95837683	-1.95837879	-0.00000195
2874000000.000000	-1.96551449	-1.96525134	-1.96551449	-0.00026315
2874500000.000000	-1.97429946	-1.97408321	-1.97429946	-0.00021625
2875000000.000000	-1.98336842	-1.98343551	-1.98336842	0.00006709
2875500000.000000	-1.99219703	-1.99138282	-1.99219703	-0.00081421
2876000000.000000	-2.00084065	-2.00061104	-2.00084065	-0.00022961
2876500000.000000	-2.00203688	-2.00199455	-2.00203688	-0.00004234
2877000000.000000	-2.01501404	-2.01504400	-2.01501404	0.00002996
2877500000.000000	-2.02203315	-2.02180941	-2.02203315	-0.00022374
2878000000.000000	-2.02725938	-2.02633347	-2.02725938	-0.00092592
2878500000.000000	-2.03273151	-2.03296632	-2.03273151	0.00023482
2879000000.000000	-2.03749136	-2.03744902	-2.03749136	-0.00004234
2879500000.000000	-2.04197634	-2.04196233	-2.04197634	-0.00001400
2880000000.000000	-2.04554745	-2.04562919	-2.04554745	0.00008175
2880500000.000000	-2.04397277	-2.04403172	-2.04397277	0.00005895
2881000000.000000	-2.04960089	-2.04963183	-2.04960089	0.00003094
2881500000.000000	-2.05459491	-2.05528504	-2.05459491	0.00069012
2882000000.000000	-2.05325408	-2.05341855	-2.05325408	0.00016447
2882500000.000000	-2.05613670	-2.05603215	-2.05613670	-0.00010454
2883000000.000000	-2.05790646	-2.05789929	-2.05790646	-0.00000717
2883500000.000000	-2.06025235	-2.06061516	-2.06025235	0.00036281
2884000000.000000	-2.06101836	-2.06117827	-2.06101836	0.00015991
2884500000.000000	-2.06222989	-2.06224944	-2.06222989	0.00001954
2885000000.000000	-2.06294184	-2.06322942	-2.06294184	0.00028758
2885500000.000000	-2.06458654	-2.06481419	-2.06458654	0.00022765
2886000000.000000	-2.06597785	-2.06593063	-2.06597785	-0.00004722
2886500000.000000	-2.06658558	-2.06678848	-2.06658558	0.00020290
2887000000.000000	-2.06845825	-2.06793911	-2.06845825	-0.00051914
2887500000.000000	-2.06858266	-2.06850971	-2.06858266	-0.00007295
2888000000.000000	-2.06909105	-2.06910408	-2.06909105	0.00001303
