# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.08118658	-2.08126117	-2.08118658	0.00007458
2840500000.000000	-2.08136538	-2.08135887	-2.08136538	-0.00000651
2841000000.000000	-2.08134747	-2.08135040	-2.08134747	0.00000293
2841500000.000000	-2.08142759	-2.08145267	-2.08142759	0.00002508
2842000000.000000	-2.08139893	-2.08140870	-2.08139893	0.00000977
2842500000.000000	-2.07796851	-2.07799978	-2.07796851	0.00003127
2843000000.000000	-2.07801671	-2.07807143	-2.07801671	0.00005471
2843500000.000000	-2.07750116	-2.07754513	-2.07750116	0.00004397
2844000000.000000	-2.07755066	-2.07758225	-2.07755066	0.00003159
2844500000.000000	-2.07718981	-2.07714844	-2.07718981	-0.00004136
2845000000.000000	-2.07691200	-2.07684100	-2.07691200	-0.00007100
2845500000.000000	-2.07687552	-2.07687357	-2.07687552	-0.00000195
2846000000.000000	-2.07640817	-2.07629516	-2.07640817	-0.00011301
2846500000.000000	-2.07599357	-2.07595742	-2.07599357	-0.00003615
2847000000.000000	-2.07546857	-2.07541028	-2.07546857	-0.00005830
2847500000.000000	-2.08157936	-2.08163570	-2.08157936	0.00005634
2848000000.000000	-2.08167381	-2.08174122	-2.08167381	0.00006742
2848500000.000000	-2.08154679	-2.08155396	-2.08154679	0.00000717
2849000000.000000	-2.08125140	-2.08123967	-2.08125140	-0.00001172
2849500000.000000	-2.08153279	-2.08159727	-2.08153279	0.00006449
2850000000.000000	-2.08116216	-2.08114620	-2.08116216	-0.00001596
2850500000.000000	-2.08112992	-2.08124358	-2.08112992	0.00011366
2851000000.000000	-2.08191677	-2.08189462	-2.08191677	-0.00002215
2851500000.000000	-2.08164547	-2.08163082	-2.08164547	-0.00001466
2852000000.000000	-2.08167804	-2.08167999	-2.08167804	0.00000195
2852500000.000000	-2.06741867	-2.06740304	-2.06741867	-0.00001563
2853000000.000000	-2.06491222	-2.06491450	-2.06491222	0.00000228
2853500000.000000	-2.06449404	-2.06445756	-2.06449404	-0.00003648
2854000000.000000	-2.06300535	-2.06303335	-2.06300535	0.00002801
2854500000.000000	-2.05947950	-2.05948765	-2.05947950	0.00000814
2855000000.000000	-2.05764233	-2.05765177	-2.05764233	0.00000944
2855500000.000000	-2.05673400	-2.05669752	-2.05673400	-0.00003648
2856000000.000000	-2.05453531	-2.05457179	-2.05453531	0.00003648
2856500000.000000	-2.05146510	-2.05148725	-2.05146510	0.00002215
2857000000.000000	-2.04772431	-2.04777316	-2.04772431	0.00004885
2857500000.000000	-2.08101137	-2.08110354	-2.08101137	0.00009217
2858000000.000000	-2.08116053	-2.08122697	-2.08116053	0.00006644
2858500000.000000	-2.08142564	-2.08140186	-2.08142564	-0.00002377
2859000000.000000	-2.08181059	-2.08173601	-2.08181059	-0.00007458
2859500000.000000	-2.08151357	-2.08150347	-2.08151357	-0.00001010
2860000000.000000	-2.08155884	-2.08159792	-2.08155884	0.00003908
2860500000.000000	-2.08161649	-2.08164645	-2.08161649	0.00002996
2861000000.000000	-2.08152627	-2.08144094	-2.08152627	-0.00008533
2861500000.000000	-2.08133021	-2.08140154	-2.08133021	0.00007132
2862000000.000000	-2.08181711	-2.08175979	-2.08181711	-0.00005732
2862500000.000000	-1.98267504	-1.98264704	-1.98267504	-0.00002801
2863000000.000000	-1.97384579	-1.97379758	-1.97384579	-0.00004820
2863500000.000000	-1.96556498	-1.96549105	-1.96556498	-0.00007393
2864000000.000000	-1.95838725	-1.95844034	-1.95838725	0.00005309
2864500000.000000	-1.95329976	-1.95325286	-1.95329976	-0.00004690
2865000000.000000	-1.94913265	-1.94914894	-1.94913265	0.00001628
2865500000.000000	-1.94612790	-1.94613735	-1.94612790	0.00000944
2866000000.000000	-1.94525507	-1.94520231	-1.94525507	-0.00005276
2866500000.000000	-1.94553842	-1.94561398	-1.94553842	0.00007556
2867000000.000000	-1.94919356	-1.94916066	-1.94919356	-0.00003289
2867500000.000000	-2.08231736	-2.08233820	-2.08231736	0.00002084
2868000000.000000	-2.08185651	-2.08186661	-2.08185651	0.00001010
2868500000.000000	-2.08168879	-2.08163896	-2.08168879	-0.00004983
