# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.07986855	-2.08027891	-0.00009864	0.00041036
2840500000.000000	-2.08118137	-2.08098694	0.00004671	-0.00019443
2841000000.000000	-2.08057039	-2.08026327	0.00007381	-0.00030712
2841500000.000000	-2.08090943	-2.08060524	0.00007310	-0.00030419
2842000000.000000	-2.08063032	-2.08021344	0.00010019	-0.00041687
2842500000.000000	-2.07954612	-2.08001510	-0.00011275	0.00046898
2843000000.000000	-2.07926278	-2.08047269	-0.00029086	0.00120991
2843500000.000000	-2.07979429	-2.07968616	0.00002600	-0.00010813
2844000000.000000	-2.07928264	-2.08100388	-0.00041373	0.00172123
2844500000.000000	-2.07652574	-2.08224147	-0.00137438	0.00571573
2845000000.000000	-2.07887131	-2.07866775	0.00004896	-0.00020355
2845500000.000000	-2.07823655	-2.07972232	-0.00035733	0.00148576
2846000000.000000	-2.08208254	-2.07674036	0.00128454	-0.00534217
2846500000.000000	-2.07838734	-2.07887587	-0.00011751	0.00048852
2847000000.000000	-2.07781935	-2.07806785	-0.00005979	0.00024850
2847500000.000000	-2.07824111	-2.07806003	0.00004357	-0.00018108
2848000000.000000	-2.08036130	-2.07708787	0.00078737	-0.00327344
2848500000.000000	-2.07712728	-2.07724289	-0.00002783	0.00011562
2849000000.000000	-2.07694001	-2.07701003	-0.00001686	0.00007002
2849500000.000000	-2.07693154	-2.07661107	0.00007716	-0.00032047
2850000000.000000	-2.07606653	-2.07599064	0.00001828	-0.00007588
2850500000.000000	-2.07552361	-2.07586135	-0.00008135	0.00033773
2851000000.000000	-2.07553404	-2.07580728	-0.00006582	0.00027325
2851500000.000000	-2.07409777	-2.07462929	-0.00012812	0.00053151
2852000000.000000	-2.07362553	-2.07351220	0.00002733	-0.00011334
2852500000.000000	-2.07214010	-2.07221109	-0.00001713	0.00007100
2853000000.000000	-2.07135455	-2.07107218	0.00006816	-0.00028237
2853500000.000000	-2.07006159	-2.06971018	0.00008489	-0.00035141
2854000000.000000	-2.06953561	-2.06900703	0.00012772	-0.00052858
2854500000.000000	-2.06722685	-2.06732585	-0.00002395	0.00009901
2855000000.000000	-2.06561472	-2.06591206	-0.00007197	0.00029735
2855500000.000000	-2.06431882	-2.06440741	-0.00002146	0.00008859
2856000000.000000	-2.06045851	-2.06040770	0.00001233	-0.00005081
2856500000.000000	-2.05734726	-2.05734954	-0.00000055	0.00000228
2857000000.000000	-2.05490594	-2.05493688	-0.00000753	0.00003094
2857500000.000000	-2.05159961	-2.05160743	-0.00000190	0.00000782
2858000000.000000	-2.04734196	-2.04745758	-0.00002824	0.00011562
2858500000.000000	-2.04373730	-2.04371027	0.00000661	-0.00002703
2859000000.000000	-2.03967408	-2.04081658	-0.00027999	0.00114250
2859500000.000000	-2.03550339	-2.03551284	-0.00000232	0.00000944
2860000000.000000	-2.03041818	-2.03049602	-0.00001917	0.00007784
2860500000.000000	-2.02078025	-2.02171073	-0.00023017	0.00093048
2861000000.000000	-2.01734756	-2.01710069	0.00006119	-0.00024687
2861500000.000000	-2.00955885	-2.00993371	-0.00009326	0.00037486
2862000000.000000	-2.00263288	-2.00272342	-0.00002260	0.00009054
2862500000.000000	-1.99392348	-1.99402346	-0.00002507	0.00009998
2863000000.000000	-1.98361887	-1.98484377	-0.00030866	0.00122489
2863500000.000000	-1.97560936	-1.97615683	-0.00013854	0.00054747
2864000000.000000	-1.96774933	-1.96824502	-0.00012594	0.00049569
2864500000.000000	-1.96181344	-1.96231140	-0.00012690	0.00049797
2865000000.000000	-1.95752094	-1.95753234	-0.00000291	0.00001140
2865500000.000000	-1.95400454	-1.95460380	-0.00015332	0.00059926
2866000000.000000	-1.95464581	-1.95330791	0.00034235	-0.00133790
2866500000.000000	-1.95316786	-1.95270670	0.00011807	-0.00046117
2867000000.000000	-1.95662042	-1.95634197	0.00007116	-0.00027846
2867500000.000000	-1.96424173	-1.96525395	-0.00025760	0.00101222
2868000000.000000	-1.97131914	-1.97153735	-0.00005534	0.00021821
2868500000.000000	-1.98214842	-1.98217349	-0.00000633	0.00002508
2869000000.000000	-1.98699360	-1.98716035	-0.00004196	0.00016675
2869500000.000000	-1.97920848	-1.97985854	-0.00016420	0.00065006
2870000000.000000	-1.96863584	-1.96829843	0.00008570	-0.00033741
2870500000.000000	-1.95885331	-1.95876537	0.00002245	-0.00008793
2871000000.000000	-1.95577104	-1.95165246	0.00105404	-0.00411858
2871500000.000000	-1.95018070	-1.94900564	0.00030136	-0.00117506
2872000000.000000	-1.94943293	-1.95008267	-0.00016662	0.00064974
2872500000.000000	-1.95322160	-1.95233346	0.00022740	-0.00088814
2873000000.000000	-1.95334471	-1.95819054	-0.00123886	0.00484583
2873500000.000000	-1.96050224	-1.95951053	0.00025298	-0.00099170
2874000000.000000	-1.96672636	-1.96670193	0.00000621	-0.00002443
2874500000.000000	-1.97837473	-1.97953611	-0.00029343	0.00116138
2875000000.000000	-1.98275158	-1.98295122	-0.00005034	0.00019964
2875500000.000000	-1.99204363	-1.99212050	-0.00001929	0.00007686
2876000000.000000	-1.99985937	-1.99974473	0.00002866	-0.00011464
2876500000.000000	-2.00699019	-2.00706282	-0.00001809	0.00007263
2877000000.000000	-2.01329150	-2.01508536	-0.00044531	0.00179386
2877500000.000000	-2.02184361	-2.02098120	0.00021332	-0.00086241
2878000000.000000	-2.02743818	-2.02742581	0.00000305	-0.00001238
2878500000.000000	-2.03361345	-2.03344638	0.00004108	-0.00016708
2879000000.000000	-2.04208446	-2.04305858	-0.00023845	0.00097412
2879500000.000000	-2.04259806	-2.04267558	-0.00001897	0.00007751
2880000000.000000	-2.04690261	-2.04683878	0.00001559	-0.00006383
2880500000.000000	-2.05062224	-2.05056557	0.00001382	-0.00005667
2881000000.000000	-2.05424220	-2.05433697	-0.00002307	0.00009477
2881500000.000000	-2.05720298	-2.05724825	-0.00001100	0.00004527
2882000000.000000	-2.05969120	-2.05986869	-0.00004309	0.00017750
2882500000.000000	-2.06235300	-2.06251682	-0.00003971	0.00016382
2883000000.000000	-2.06492003	-2.06492036	-0.00000008	0.00000033
2883500000.000000	-2.06638170	-2.06655398	-0.00004169	0.00017229
2884000000.000000	-2.06748674	-2.06757435	-0.00002119	0.00008761
2884500000.000000	-2.06933304	-2.06943172	-0.00002384	0.00009868
2885000000.000000	-2.07027654	-2.07038922	-0.00002721	0.00011269
2885500000.000000	-2.07219546	-2.07222152	-0.00000629	0.00002605
2886000000.000000	-2.07271721	-2.07278071	-0.00001532	0.00006351
2886500000.000000	-2.07387110	-2.07400333	-0.00003188	0.00013223
2887000000.000000	-2.07479343	-2.07477194	0.00000518	-0.00002150
2887500000.000000	-2.07515038	-2.07517416	-0.00000573	0.00002377
2888000000.000000	-2.07584832	-2.07576918	0.00001906	-0.00007914
2888500000.000000	-2.07706637	-2.07667002	0.00009542	-0.00039636
2889000000.000000	-2.07671724	-2.07679150	-0.00001788	0.00007426
2889500000.000000	-2.07707549	-2.07706344	0.00000290	-0.00001205
2890000000.000000	-2.07818021	-2.07747348	0.00017007	-0.00070673
2890500000.000000	-2.07765097	-2.07737284	0.00006694	-0.00027813
2891000000.000000	-2.07765228	-2.07747999	0.00004146	-0.00017229
2891500000.000000	-2.07791380	-2.07806817	-0.00003714	0.00015437
2892000000.000000	-2.07747282	-2.07808543	-0.00014742	0.00061261
2892500000.000000	-2.07854660	-2.07845964	0.00002092	-0.00008696
2893000000.000000	-2.07890746	-2.07881171	0.00002303	-0.00009575
2893500000.000000	-2.07905499	-2.07899344	0.00001480	-0.00006155
2894000000.000000	-2.07937905	-2.07922239	0.00003767	-0.00015665
2894500000.000000	-2.07902112	-2.07900777	0.00000321	-0.00001335
2895000000.000000	-2.07925822	-2.07913869	0.00002874	-0.00011953
2895500000.000000	-2.07953668	-2.07962982	-0.00002240	0.00009315
2896000000.000000	-2.07964220	-2.07968323	-0.00000987	0.00004104
2896500000.000000	-2.07992587	-2.08028021	-0.00008517	0.00035434
2897000000.000000	-2.08045250	-2.08030138	0.00003632	-0.00015112
2897500000.000000	-2.08121459	-2.08102472	0.00004562	-0.00018987
2898000000.000000	-2.08054336	-2.08063358	-0.00002168	0.00009021
2898500000.000000	-2.08020139	-2.08122762	-0.00024660	0.00102623
2899000000.000000	-2.08078697	-2.08075440	0.00000783	-0.00003257
2899500000.000000	-2.08087588	-2.08088989	-0.00000337	0.00001400
2900000000.000000	-2.08049028	-2.08114555	-0.00015746	0.00065527
