# 扫描参数	信号	背景	对比度	差分信号	归一化对比度
2840000000.000000	-0.65824284	-0.65556247	-0.65824284	-0.00268037	0.18915087
2840500000.000000	-0.65644181	-0.65699547	-0.65644181	0.00055366	0.23041337
2841000000.000000	-0.65347158	-0.65047530	-0.65347158	-0.00299628	0.29846292
2841500000.000000	-0.65255967	-0.65279091	-0.65255967	0.00023123	0.31935532
2842000000.000000	-0.65456588	-0.65431510	-0.65456588	-0.00025078	0.27339203
2842500000.000000	-0.65495344	-0.65527587	-0.65495344	0.00032243	0.26451276
2843000000.000000	-0.65299934	-0.65244568	-0.65299934	-0.00055366	0.30928220
2843500000.000000	-0.65359534	-0.65474826	-0.65359534	0.00115292	0.29562752
2844000000.000000	-0.65460822	-0.65436070	-0.65460822	-0.00024752	0.27242203
2844500000.000000	-0.65562760	-0.65564063	-0.65562760	0.00001303	0.24906730
2845000000.000000	-0.65119180	-0.65451051	-0.65119180	0.00331871	0.35069393
2845500000.000000	-0.65235449	-0.65223073	-0.65235449	-0.00012376	0.32405611
2846000000.000000	-0.65408061	-0.65407735	-0.65408061	-0.00000326	0.28450977
2846500000.000000	-0.65406433	-0.65454308	-0.65406433	0.00047875	0.28488285
2847000000.000000	-0.65407410	-0.65414900	-0.65407410	0.00007491	0.28465901
2847500000.000000	-0.65605099	-0.65644832	-0.65605099	0.00039733	0.23936726
2848000000.000000	-0.65986799	-0.65991359	-0.65986799	0.00004560	0.15191762
2848500000.000000	-0.66564560	-0.66553813	-0.66564560	-0.00010748	0.01954932
2849000000.000000	-0.66238226	-0.66231061	-0.66238226	-0.00007165	0.09431428
2849500000.000000	-0.66266886	-0.66122283	-0.66266886	-0.00144603	0.08774810
2850000000.000000	-0.66125866	-0.66009923	-0.66125866	-0.00115943	0.12005671
2850500000.000000	-0.66076036	-0.66078316	-0.66076036	0.00002280	0.13147291
2851000000.000000	-0.66004712	-0.66032069	-0.66004712	0.00027357	0.14781376
2851500000.000000	-0.65787807	-0.65704432	-0.65787807	-0.00083375	0.19750783
2852000000.000000	-0.65276159	-0.65283650	-0.65276159	0.00007491	0.31472914
2852500000.000000	-0.64812062	-0.64826717	-0.64812062	0.00014656	0.42105656
2853000000.000000	-0.64574313	-0.64542396	-0.64574313	-0.00031917	0.47552604
2853500000.000000	-0.64460976	-0.64445668	-0.64460976	-0.00015307	0.50149231
2854000000.000000	-0.64518296	-0.64549561	-0.64518296	0.00031266	0.48835995
2854500000.000000	-0.64947220	-0.64940055	-0.64947220	-0.00007165	0.39009103
2855000000.000000	-0.65202881	-0.65221770	-0.65202881	0.00018890	0.33151768
2855500000.000000	-0.65167381	-0.65228935	-0.65167381	0.00061554	0.33965080
2856000000.000000	-0.64979788	-0.64966435	-0.64979788	-0.00013353	0.38262946
2856500000.000000	-0.64872639	-0.64884363	-0.64872639	0.00011725	0.40717803
2857000000.000000	-0.64970995	-0.64957316	-0.64970995	-0.00013679	0.38464408
2857500000.000000	-0.64876872	-0.64863519	-0.64876872	-0.00013353	0.40620803
2858000000.000000	-0.64511131	-0.64516342	-0.64511131	0.00005211	0.49000149
2858500000.000000	-0.64307579	-0.64295529	-0.64307579	-0.00012050	0.53663632
2859000000.000000	-0.64274034	-0.64535883	-0.64274034	0.00261849	0.54432174
2859500000.000000	-0.64397142	-0.64357083	-0.64397142	-0.00040059	0.51611700
2860000000.000000	-0.64398770	-0.64304974	-0.64398770	-0.00093797	0.51574392
2860500000.000000	-0.64270451	-0.64218993	-0.64270451	-0.00051458	0.54514252
2861000000.000000	-0.63942814	-0.64331679	-0.63942814	0.00388865	0.62020594
2861500000.000000	-0.64082532	-0.64154508	-0.64082532	0.00071976	0.58819579
2862000000.000000	-0.63996226	-0.63942814	-0.63996226	-0.00053412	0.60796896
2862500000.000000	-0.63898847	-0.63870513	-0.63898847	-0.00028334	0.63027906
2863000000.000000	-0.63825569	-0.64160696	-0.63825569	0.00335128	0.64706760
2863500000.000000	-0.63683245	-0.63681291	-0.63683245	-0.00001954	0.67967468
2864000000.000000	-0.63561765	-0.63560788	-0.63561765	-0.00000977	0.70750634
2864500000.000000	-0.63351374	-0.63351049	-0.63351374	-0.00000326	0.75570810
2865000000.000000	-0.63144892	-0.63122419	-0.63144892	-0.00022472	0.80301448
2865500000.000000	-0.62698055	-0.62926358	-0.62698055	0.00228304	0.90538726
2866000000.000000	-0.62583089	-0.62600676	-0.62583089	0.00017587	0.93172661
2866500000.000000	-0.62327754	-0.62362602	-0.62327754	0.00034848	0.99022534
