# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.58801408	-2.58410588	0.00075563	-0.00390819
2840500000.000000	-2.58801408	-2.58410588	0.00075563	-0.00390819
2841000000.000000	-2.58605998	-2.58964249	-0.00069218	0.00358251
2841500000.000000	-2.58605998	-2.58866544	-0.00050350	0.00260546
2842000000.000000	-2.58703703	-2.58964249	-0.00050331	0.00260546
2842500000.000000	-2.58508293	-2.58573430	-0.00012597	0.00065137
2843000000.000000	-2.58638566	-2.58638566	0.00000000	0.00000000
2843500000.000000	-2.58443157	-2.58540861	-0.00018899	0.00097705
2844000000.000000	-2.58703703	-2.58671135	0.00006295	-0.00032568
2844500000.000000	-2.58866544	-2.58312884	0.00107054	-0.00553661
2845000000.000000	-2.58215179	-2.58378020	-0.00031522	0.00162841
2845500000.000000	-2.58215179	-2.58019769	0.00037853	-0.00195410
2846000000.000000	-2.58866544	-2.58703703	0.00031463	-0.00162841
2846500000.000000	-2.58247747	-2.58573430	-0.00063017	0.00325683
2847000000.000000	-2.58247747	-2.58150042	0.00018920	-0.00097705
2847500000.000000	-2.58280315	-2.58605998	-0.00063009	0.00325683
2848000000.000000	-2.58573430	-2.57889496	0.00132426	-0.00683934
2848500000.000000	-2.58117474	-2.58475725	-0.00069349	0.00358251
2849000000.000000	-2.58019769	-2.57922064	0.00018937	-0.00097705
2849500000.000000	-2.58182610	-2.58182610	0.00000000	0.00000000
2850000000.000000	-2.57824359	-2.57922064	-0.00018944	0.00097705
2850500000.000000	-2.58150042	-2.58117474	0.00006308	-0.00032568
2851000000.000000	-2.57759223	-2.57791791	-0.00006317	0.00032568
2851500000.000000	-2.57824359	-2.57954633	-0.00025258	0.00130273
2852000000.000000	-2.58019769	-2.57531245	0.00094758	-0.00488524
2852500000.000000	-2.57466108	-2.57466108	0.00000000	0.00000000
2853000000.000000	-2.57335835	-2.57335835	0.00000000	0.00000000
2853500000.000000	-2.57107857	-2.57140426	-0.00006333	0.00032568
2854000000.000000	-2.57466108	-2.57205562	0.00050624	-0.00260546
2854500000.000000	-2.57303267	-2.57075289	0.00044321	-0.00227978
2855000000.000000	-2.56489060	-2.56554197	-0.00012696	0.00065137
2855500000.000000	-2.56228514	-2.56098241	0.00025428	-0.00130273
2856000000.000000	-2.55544580	-2.56000536	-0.00089133	0.00455956
2856500000.000000	-2.55674853	-2.55805126	-0.00025470	0.00130273
2857000000.000000	-2.55446875	-2.55446875	0.00000000	0.00000000
2857500000.000000	-2.55088624	-2.54990920	0.00019155	-0.00097705
2858000000.000000	-2.54404691	-2.54665237	-0.00051181	0.00260546
2858500000.000000	-2.54144144	-2.53785893	0.00070532	-0.00358251
2859000000.000000	-2.53753325	-2.53069391	0.00134945	-0.00683934
2859500000.000000	-2.52711140	-2.52515731	0.00038678	-0.00195410
2860000000.000000	-2.51831797	-2.51734092	0.00019403	-0.00097705
2860500000.000000	-2.51440978	-2.51506114	-0.00012951	0.00065137
2861000000.000000	-2.50431361	-2.50626771	-0.00038999	0.00195410
2861500000.000000	-2.49291471	-2.49128630	0.00032672	-0.00162841
2862000000.000000	-2.48477265	-2.48379560	0.00019665	-0.00097705
2862500000.000000	-2.47272238	-2.47207102	0.00013173	-0.00065137
2863000000.000000	-2.45969507	-2.46490600	-0.00105814	0.00521092
2863500000.000000	-2.44927323	-2.45220437	-0.00059801	0.00293114
2864000000.000000	-2.43689728	-2.44015411	-0.00066779	0.00325683
2864500000.000000	-2.43070931	-2.42517270	0.00114019	-0.00553661
2865000000.000000	-2.42061314	-2.42354429	-0.00060509	0.00293114
2865500000.000000	-2.42126451	-2.42289292	-0.00033616	0.00162841
