# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.08018641	-2.08031701	-0.00003139	0.00013060
2840500000.000000	-2.07961549	-2.07990112	-0.00006867	0.00028562
2841000000.000000	-2.07806882	-2.07785387	0.00005172	-0.00021495
2841500000.000000	-2.07847918	-2.07855051	-0.00001716	0.00007132
2842000000.000000	-2.07854139	-2.07856582	-0.00000588	0.00002443
2842500000.000000	-2.07916800	-2.07921197	-0.00001057	0.00004397
2843000000.000000	-2.07846355	-2.07808739	0.00009050	-0.00037616
2843500000.000000	-2.07874722	-2.07854888	0.00004771	-0.00019834
2844000000.000000	-2.07860001	-2.07864496	-0.00001081	0.00004494
2844500000.000000	-2.07692437	-2.07706116	-0.00003293	0.00013679
2845000000.000000	-2.07637755	-2.07638504	-0.00000180	0.00000749
2845500000.000000	-2.07668891	-2.07595775	0.00017607	-0.00073116
2846000000.000000	-2.07766563	-2.07771122	-0.00001097	0.00004560
2846500000.000000	-2.07674004	-2.07665341	0.00002086	-0.00008663
2847000000.000000	-2.07662377	-2.07683253	-0.00005026	0.00020876
2847500000.000000	-2.07659804	-2.07671594	-0.00002839	0.00011790
2848000000.000000	-2.07608053	-2.07614697	-0.00001600	0.00006644
2848500000.000000	-2.07593137	-2.07600237	-0.00001710	0.00007100
2849000000.000000	-2.07548811	-2.07572456	-0.00005696	0.00023645
2849500000.000000	-2.07600400	-2.07579751	0.00004973	-0.00020648
2850000000.000000	-2.07502597	-2.07502011	0.00000141	-0.00000586
2850500000.000000	-2.07436223	-2.07463059	-0.00006468	0.00026836
2851000000.000000	-2.07407888	-2.07398607	0.00002238	-0.00009282
2851500000.000000	-2.07345357	-2.07388706	-0.00010452	0.00043348
2852000000.000000	-2.07275564	-2.07257781	0.00004290	-0.00017782
2852500000.000000	-2.06988735	-2.07024430	-0.00008622	0.00035695
2853000000.000000	-2.06818924	-2.06782382	0.00008835	-0.00036542
2853500000.000000	-2.06862207	-2.06873117	-0.00002637	0.00010910
2854000000.000000	-2.06840354	-2.06792674	0.00011527	-0.00047680
2854500000.000000	-2.06649634	-2.06723271	-0.00017814	0.00073637
2855000000.000000	-2.06499201	-2.06520891	-0.00005252	0.00021690
2855500000.000000	-2.06271842	-2.06389251	-0.00028452	0.00117409
2856000000.000000	-2.06247937	-2.06211688	0.00008788	-0.00036248
2856500000.000000	-2.05993481	-2.05958763	0.00008428	-0.00034718
2857000000.000000	-2.05735312	-2.05573285	0.00039393	-0.00162027
2857500000.000000	-2.05228452	-2.05254311	-0.00006300	0.00025859
2858000000.000000	-2.05091665	-2.05062908	0.00007011	-0.00028758
2858500000.000000	-2.04712310	-2.04661699	0.00012363	-0.00050611
2859000000.000000	-2.04255768	-2.04319667	-0.00015639	0.00063899
2859500000.000000	-2.03654427	-2.03938488	-0.00069692	0.00284060
2860000000.000000	-2.03433549	-2.03080835	0.00086766	-0.00352714
2860500000.000000	-2.02651780	-2.03029182	-0.00093029	0.00377401
2861000000.000000	-2.02062783	-2.02432596	-0.00091426	0.00369813
2861500000.000000	-2.01557226	-2.01583671	-0.00006560	0.00026445
2862000000.000000	-2.01188195	-2.00663715	0.00130516	-0.00524479
2862500000.000000	-1.99999876	-2.00134546	-0.00033656	0.00134670
2863000000.000000	-1.99064646	-1.99368182	-0.00076183	0.00303536
2863500000.000000	-1.97976246	-1.98577131	-0.00151527	0.00600885
2864000000.000000	-1.97167348	-1.98137427	-0.00245400	0.00970079
2864500000.000000	-1.96521161	-1.97539929	-0.00258531	0.01018768
2865000000.000000	-1.96150404	-1.97105859	-0.00242960	0.00955455
2865500000.000000	-1.96266021	-1.96147929	0.00030094	-0.00118093
2866000000.000000	-1.95645302	-1.96534481	-0.00226727	0.00889179
2866500000.000000	-1.96079633	-1.96119138	-0.00010073	0.00039505
2867000000.000000	-1.96281328	-1.96460063	-0.00045510	0.00178735
2867500000.000000	-1.97019325	-1.97203238	-0.00046652	0.00183913
2868000000.000000	-1.97884046	-1.98732970	-0.00214041	0.00848925
2868500000.000000	-1.99881751	-1.99224002	0.00164806	-0.00657749
