0	-2.66053353	-2.66051724
2	-2.66429972	-2.66428572
4	-2.66467230	-2.66464788
6	-2.66234693	-2.66233553
10	-2.66441436	-2.66441078
12	-2.66376137	-2.66376104
14	-2.66113767	-2.66113800
16	-2.66538490	-2.66538588
18	-2.66609261	-2.66605678
20	-2.66536731	-2.66536699
22	-2.66246743	-2.66247916
24	-2.66323116	-2.66322986
26	-2.66099079	-2.66099535
28	-2.66420690	-2.66419127
30	-2.66573859	-2.66571482
32	-2.66117024	-2.66115395
34	-2.66451239	-2.66454333
36	-2.66641829	-2.66639158
38	-2.66117610	-2.66120053
40	-2.66343471	-2.66342494
42	-2.66642480	-2.66642480
44	-2.66155617	-2.66156138
46	-2.66458209	-2.66456060
48	-2.66663552	-2.66663715
50	-2.66283448	-2.66281559
52	-2.66608349	-2.66609098
54	-2.66526212	-2.66524974
56	-2.66148485	-2.66143241
58	-2.66589459	-2.66588710
60	-2.66695534	-2.66694850
62	-2.66166332	-2.66164280
64	-2.66429321	-2.66428442
66	-2.66420853	-2.66423817
68	-2.66498691	-2.66499180
70	-2.66400433	-2.66400791
72	-2.66693645	-2.66694622
74	-2.66547120	-2.66543310
76	-2.66307451	-2.66308428
78	-2.66691137	-2.66691007
80	-2.66688239	-2.66690909
82	-2.66207401	-2.66207987
84	-2.66717387	-2.66716378
86	-2.66567410	-2.66568290
88	-2.66428344	-2.66429256
90	-2.66327643	-2.66326503
92	-2.66738524	-2.66740837
94	-2.66402127	-2.66400433
96	-2.66305659	-2.66304291
98	-2.66736440	-2.66736016
100	-2.66520121	-2.66521489
102	-2.66221405	-2.66218963
104	-2.66554839	-2.66552201
106	-2.66637660	-2.66634371
108	-2.66262115	-2.66263809
110	-2.66390141	-2.66389262
112	-2.66765230	-2.66795063
114	-2.66289408	-2.66288333
116	-2.66432122	-2.66428865
118	-2.66754548	-2.66753571
120	-2.66253680	-2.66253094
122	-2.66613299	-2.66613201
124	-2.66791969	-2.66792229
126	-2.66362979	-2.66362426
128	-2.66708236	-2.66705467
130	-2.66798873	-2.66799753
132	-2.66410171	-2.66410659
134	-2.66278530	-2.66277781
136	-2.66811673	-2.66812747
138	-2.66443716	-2.66448113
140	-2.66821964	-2.66820368
142	-2.66504130	-2.66500255
144	-2.66419518	-2.66423817
146	-2.66801967	-2.66802684
148	-2.66791773	-2.66791285
150	-2.66637465	-2.66635283
152	-2.66697097	-2.66697065
154	-2.66330509	-2.66330444
156	-2.66607274	-2.66609228
158	-2.66741846	-2.66742074
160	-2.66321064	-2.66318231
162	-2.66648994	-2.66645705
164	-2.66807895	-2.66806103
166	-2.66865019	-2.66866062
168	-2.66762885	-2.66764416
170	-2.66485925	-2.66487097
172	-2.66672118	-2.66669805
174	-2.66782557	-2.66799883
176	-2.66841473	-2.66839030
178	-2.66509504	-2.66510481
180	-2.66783110	-2.66782068
182	-2.66362165	-2.66366236
184	-2.66902440	-2.66898956
186	-2.66391965	-2.66393431
188	-2.66856845	-2.66854956
190	-2.66471595	-2.66469478
192	-2.66705142	-2.66706900
194	-2.66718462	-2.66717387
196	-2.66609912	-2.66605874
198	-2.66490387	-2.66489735
200	-2.66504423	-2.66505889
