100	-2.78235891	-2.78236145
150	-2.78262251	-2.78262020
200	-2.78269534	-2.78270038
250	-2.78278816	-2.78279187
300	-2.78289097	-2.78288394
350	-2.78296725	-2.78296702
400	-2.78303287	-2.78303258
450	-2.78312696	-2.78313002
500	-2.78318594	-2.78318894
550	-2.78322740	-2.78323193
600	-2.78331960	-2.78331456
650	-2.78340301	-2.78339901
700	-2.78347303	-2.78347150
750	-2.78352716	-2.78352804
800	-2.78359634	-2.78360301
850	-2.78369769	-2.78368873
900	-2.78376563	-2.78376954
950	-2.78385900	-2.78385473
1000	-2.78392095	-2.78393127
1050	-2.78398937	-2.78398892
1100	-2.78404076	-2.78404571
1150	-2.78409440	-2.78408926
1200	-2.78411479	-2.78411303
1250	-2.78419976	-2.78420159
1300	-2.78426558	-2.78427835
1350	-2.78430851	-2.78431062
1400	-2.78434580	-2.78434560
1450	-2.78441006	-2.78440315
1500	-2.78446389	-2.78446503
1550	-2.78450258	-2.78450284
1600	-2.78455085	-2.78455029
1650	-2.78461484	-2.78461221
1700	-2.78464839	-2.78465526
1750	-2.78470066	-2.78470998
1800	-2.78475525	-2.78475352
1850	-2.78479430	-2.78479153
1900	-2.78484813	-2.78483595
1950	-2.78489373	-2.78488614
2000	-2.78494606	-2.78493242
2050	-2.78502980	-2.78502198
2100	-2.78508832	-2.78509471
2150	-2.78512030	-2.78511929
2200	-2.78520804	-2.78520257
2250	-2.78525123	-2.78525882
2300	-2.78531457	-2.78531529
2350	-2.78542514	-2.78543449
2400	-2.78550116	-2.78549497
2450	-2.78557808	-2.78558154
2500	-2.78565306	-2.78565924
2550	-2.78574210	-2.78574324
2600	-2.78579229	-2.78580157
2650	-2.78586475	-2.78585973
2700	-2.78596255	-2.78596516
2750	-2.78602521	-2.78603717
2800	-2.78609940	-2.78610077
2850	-2.78616063	-2.78616047
2900	-2.78621548	-2.78621290
2950	-2.78626075	-2.78625462
3000	-2.78632240	-2.78631856
3050	-2.78638027	-2.78638314
3100	-2.78642825	-2.78642056
3150	-2.78645163	-2.78644590
3200	-2.78652823	-2.78654022
3250	-2.78657773	-2.78658272
